metric,fold_mean,fold_sd,fold_min,fold_max,pooled_value
n_samples,6550.6,0.8944271909999159,6550.0,6552.0,32753.0
accuracy,0.7428332320194316,0.006630619569501978,0.735958485958486,0.7505343511450382,0.7428327176136537
balanced_accuracy,0.701999761318203,0.010007157481048055,0.6912013893652434,0.7174745544362651,0.701995636987577
macro_precision,0.7750793969935492,0.016824120898422133,0.7567840191759544,0.8014509091578292,0.7737865480173682
macro_recall,0.701999761318203,0.010007157481048055,0.6912013893652434,0.7174745544362651,0.701995636987577
macro_f1,0.7310634542340118,0.006198884906786286,0.725752398304514,0.7409625643353914,0.7311723717794656
weighted_f1,0.7414754910605391,0.006152079677241487,0.7352247391774839,0.7501525566738715,0.7416087188410149
nll,0.7106484904498666,0.04720459822752521,0.6593649652998219,0.762607639087674,0.7106481911077084
brier,0.36961475478998823,0.012174444344466476,0.3540849203773213,0.38142069670863754,0.36961522143859094
ece,0.07431724495360525,0.02797215094629997,0.04486600229146788,0.1050143730741257,0.07202907328629674
