metric,fold_mean,fold_sd,fold_min,fold_max,pooled_value
n_samples,6550.6,0.8944271909999159,6550.0,6552.0,32753.0
accuracy,0.7621287794596595,0.0030211586317916055,0.7601526717557252,0.7674809160305344,0.7621286599700791
balanced_accuracy,0.727186561050534,0.014262229479861615,0.7173878328433272,0.7519513839236434,0.7271831563054242
macro_precision,0.7934879169313174,0.010726692899072536,0.783472749464169,0.8110918986508422,0.7913295139807885
macro_recall,0.727186561050534,0.014262229479861615,0.7173878328433272,0.7519513839236434,0.7271831563054242
macro_f1,0.7541130224028276,0.008001598838083756,0.7447289767065994,0.766382701392384,0.7541959084510115
weighted_f1,0.7606466701135008,0.0041058840641468985,0.7566547839069564,0.7676125474864515,0.7607339033870135
nll,0.695834326933633,0.09553397640783896,0.6228785806928238,0.858618454453966,0.6958328858747252
brier,0.34581055433953795,0.010809527165433427,0.3351908195689784,0.361772585352987,0.3458107072858094
ece,0.07476461560576181,0.031053102187736357,0.03641330585400415,0.12251146189657097,0.07418991653238591
