metric,fold_mean,fold_sd,fold_min,fold_max,pooled_value
n_samples,6550.6,0.8944271909999159,6550.0,6552.0,32753.0
accuracy,0.7422530608672099,0.020800757124197457,0.7052358418562051,0.753587786259542,0.7422526180807865
balanced_accuracy,0.6994452102105442,0.021202287334592215,0.6643301140452256,0.7162960295596608,0.6994511993344539
macro_precision,0.7840607553503166,0.01887061836486129,0.7516131121271652,0.7971730925583458,0.7833914610042768
macro_recall,0.6994452102105442,0.021202287334592215,0.6643301140452256,0.7162960295596608,0.6994511993344539
macro_f1,0.7329904893428738,0.020605297614852528,0.6968692823077642,0.7468004949586105,0.7331367789638595
weighted_f1,0.7405792710877345,0.020294617730277076,0.7045394291703215,0.75196078868686,0.7406448100088455
nll,0.6670355755630265,0.03434987772837075,0.6386800264906344,0.7238302504424878,0.6670374857252566
brier,0.36159613069963326,0.02423158521225385,0.3478382484553982,0.40478921800571177,0.3615969460767594
ece,0.04388985312153075,0.021576316887265638,0.021533913130954388,0.07153023898555161,0.03828357153623245
