metric,fold_mean,fold_sd,fold_min,fold_max,pooled_value
n_samples,6550.6,0.8944271909999159,6550.0,6552.0,32753.0
accuracy,0.7538561606464789,0.019192754284261593,0.724969474969475,0.7717557251908397,0.7538546087381308
balanced_accuracy,0.7121147651707685,0.013973259975589607,0.6879069103231636,0.7229298294094855,0.7121217341922146
macro_precision,0.7965874740547773,0.01596635898709462,0.7779632115999862,0.8110235153395674,0.7954251666894147
macro_recall,0.7121147651707685,0.013973259975589607,0.6879069103231636,0.7229298294094855,0.7121217341922146
macro_f1,0.7447637089720558,0.015412233438252128,0.719833516347234,0.7581403863449738,0.7447434490683583
weighted_f1,0.7520511203794065,0.018697585713354385,0.7236366337885058,0.7687675702372941,0.7520544141550203
nll,0.6536530530321455,0.021298513380103436,0.6255319900372256,0.6839729671769441,0.6536549957506186
brier,0.3494596845799175,0.0190347910342409,0.3331177414045854,0.37970993924716967,0.34946136947998113
ece,0.05388455873250157,0.01602414641338682,0.02675875547666181,0.06785158934776492,0.052855772130036456
