candidate,experiment_id,seed,true_label,selection_group,selection_rank,id,fold,predicted_label,calibrated_confidence,calibrated_true_probability,run_id,path,image_sha256,articleType,year,productDisplayName,article_type_shortcut,acquisition_year,file_size_quartile,product_family_size,image_mode,gradcam_target_label,gradcam_target_index,raw_confidence,raw_true_probability,probability_max_absolute_delta,activation_channels,activation_height,activation_width,checkpoint_sha256,fold_stats_sha256,zero_heatmap,heatmap_mass,border_attention_share,foreground_attention_share,background_attention_share,padding_attention_share,border_area_fraction,foreground_proxy_area_fraction,background_proxy_area_fraction,border_attention_lift,foreground_attention_lift,attention_review_flag,diagnostic_tags,primary_failure_hypothesis,causal_claim_allowed,human_label_ambiguity_review_required,review_note
C2,g3-c2-t0-resnet18,2753,Fall,incorrect,1,12850,3,Summer,0.9944900620523486,0.0051840685882488,g3-c2-t0-resnet18-f3-s2753-7e8c480bec75,data/raw/teacher/train/images_train/12850.jpg,573001dfaffd7864921412721b6662203783f6c05e199bd4c870e4041216f58e,Tops,2011,Ant Kids Girl Cheerful Green Tops,conflict,dominant_2011_2012,q1_smallest,singleton,rgb,Summer,2,0.9992814660072327,0.0007068111444823444,2.5212764740101257e-05,512,10,8,2cb33d8b4cf7817d7f94066356eddf77061a6d22d1a29bae6fd91f574b2b0c37,494eb1ae779d3c35a88b480b8473eac95b5cb206fd0e3f7cbe90b1aebd46bebb,False,960.6078182850943,0.12539393125985573,0.5632317981679096,0.4367682018320904,0.0,0.51,0.2425,0.7575,0.24587045345069752,2.32260535326973,False,label_ambiguity_requires_human_review;weak_data_proxy;article_type_shortcut_conflict,weak_data_proxy,False,True,confidence=0.994; shortcut=conflict; mode=rgb; file_size=q1_smallest; border_lift=0.246; foreground_lift=2.323
C2,g3-c2-t0-resnet18,2753,Fall,incorrect,2,40583,4,Summer,0.99428152896895,0.0039204359984712,g3-c2-t0-resnet18-f4-s2753-7b3a3bf2d06e,data/raw/teacher/train/images_train/40583.jpg,e3d767ad420e3fa8c01b1d03e9b326438a541cd6ea9c3b11bc87aa4792e200b2,Kurtas,2012,Aurelia Women Pink Printed Kurta,conflict,dominant_2011_2012,q2,multirow,rgb,Summer,2,0.9992343187332153,0.0005988416960462928,5.602836608886719e-06,512,10,8,b99f7fd286ed4d228afe069bac92e447440c851a904de3bc8c9c310bfba52f26,4c5a400a18e7de1c816c73093f40222f4889ee7d79bce55ea0b8858d89ea073c,False,1201.6730477396704,0.32002743032786857,0.7441565970137787,0.2558434029862214,0.0,0.51,0.36625,0.63375,0.6275047653487619,2.031826886044447,False,label_ambiguity_requires_human_review;article_type_shortcut_conflict,article_type_shortcut_conflict,False,True,confidence=0.994; shortcut=conflict; mode=rgb; file_size=q2; border_lift=0.628; foreground_lift=2.032
C2,g3-c2-t0-resnet18,2753,Fall,incorrect,3,19264,1,Winter,0.9928921000452584,0.0009424543497638,g3-c2-t0-resnet18-f1-s2753-dc728952f19f,data/raw/teacher/train/images_train/19264.jpg,95c3de68438e773c9ef98d2577b25e9020c69cfb2997e598523e6d7cfaa18724,Watches,2012,Guess Women Mini Prism Black Watch,conflict,dominant_2011_2012,q1_smallest,multirow,rgb,Winter,3,0.9989432692527771,7.800891035003588e-05,2.1139276214526175e-06,512,10,8,9bd3180201f863b90acdcdc9cda5d7d1000cda64947a83b6c13aae5c8837c151,905c2d6e2ec274443daa26ccb27ffc4dfdc7c9528728d0d32dc617810d90f933,False,1628.5364243367367,0.3619569306984905,0.5279404337283105,0.4720595662716895,0.0,0.51,0.4325,0.5675,0.7097194719578245,1.2206715230712382,False,label_ambiguity_requires_human_review;weak_data_proxy;article_type_shortcut_conflict,weak_data_proxy,False,True,confidence=0.993; shortcut=conflict; mode=rgb; file_size=q1_smallest; border_lift=0.710; foreground_lift=1.221
C2,g3-c2-t0-resnet18,2753,Spring,incorrect,1,19298,4,Winter,0.9948796795396349,1.5288157445350435e-05,g3-c2-t0-resnet18-f4-s2753-7b3a3bf2d06e,data/raw/teacher/train/images_train/19298.jpg,8707974ff38f847a0677f67102231ed4bdf1185588a30003400e2e930abee304,Watches,2013,Guess Women Puffy G Black Watch,conflict,other_years,q1_smallest,singleton,rgb,Winter,3,0.9992902278900146,3.551737108864472e-07,3.2761599867980884e-06,512,10,8,b99f7fd286ed4d228afe069bac92e447440c851a904de3bc8c9c310bfba52f26,4c5a400a18e7de1c816c73093f40222f4889ee7d79bce55ea0b8858d89ea073c,False,1102.0918338948104,0.491992481586795,0.5657386399470125,0.43426136005298754,0.0,0.51,0.5502083333333333,0.44979166666666665,0.9646911403662647,1.028226229362234,False,label_ambiguity_requires_human_review;weak_data_proxy;article_type_shortcut_conflict;spring_imbalance_association,weak_data_proxy,False,True,confidence=0.995; shortcut=conflict; mode=rgb; file_size=q1_smallest; border_lift=0.965; foreground_lift=1.028
C2,g3-c2-t0-resnet18,2753,Spring,incorrect,2,47111,4,Summer,0.9824147478275892,0.004410346080867,g3-c2-t0-resnet18-f4-s2753-7b3a3bf2d06e,data/raw/teacher/train/images_train/47111.jpg,6e70627a8ecc7675abd783e96d3cdd9503e4ca49f0bbfb3710e9891a7ae77802,Sandals,2013,Marvel Boys Blue Spiderman Clogs,conflict,other_years,q3,multirow,rgb,Summer,2,0.9962433576583862,0.0006835997337475419,7.70357437432298e-05,512,10,8,b99f7fd286ed4d228afe069bac92e447440c851a904de3bc8c9c310bfba52f26,4c5a400a18e7de1c816c73093f40222f4889ee7d79bce55ea0b8858d89ea073c,False,1061.1486291485471,0.21446129070934403,0.6771066197652718,0.3228933802347283,0.0,0.51,0.36270833333333335,0.6372916666666667,0.42051233472420396,1.8668074525406688,False,label_ambiguity_requires_human_review;article_type_shortcut_conflict;spring_imbalance_association,article_type_shortcut_conflict,False,True,confidence=0.982; shortcut=conflict; mode=rgb; file_size=q3; border_lift=0.421; foreground_lift=1.867
C2,g3-c2-t0-resnet18,2753,Spring,incorrect,3,5792,0,Summer,0.9823611585359876,0.0156238121351428,g3-c2-t0-resnet18-f0-s2753-66ee7a85d5c6,data/raw/teacher/train/images_train/5792.jpg,9c70bd814f12e4cf00fafa3722bb26050fd45352d89994b64f9dbd56c92cd0b2,Tops,2011,Jealous 21 Women Multi Color Top,conflict,dominant_2011_2012,q4_largest,singleton,rgb,Summer,2,0.9960619807243347,0.003716476494446397,3.341375850149679e-05,512,10,8,eb4d4a3c44fe2ec224c4ff164f197cd9e427cb1953dda54aa643302228875b2f,a01190d87781258e9dfd75b173ba3849f460ec97abcb65bae2995e9acaacd353,False,1619.7394981225661,0.28603461215758397,0.6211244499021691,0.3788755500978309,0.0,0.51,0.42645833333333333,0.5735416666666666,0.5608521807011451,1.456471597230294,False,label_ambiguity_requires_human_review;article_type_shortcut_conflict;spring_imbalance_association,article_type_shortcut_conflict,False,True,confidence=0.982; shortcut=conflict; mode=rgb; file_size=q4_largest; border_lift=0.561; foreground_lift=1.456
C2,g3-c2-t0-resnet18,2753,Summer,incorrect,1,25675,1,Winter,0.9938046186997136,0.0060326006408758,g3-c2-t0-resnet18-f1-s2753-dc728952f19f,data/raw/teacher/train/images_train/25675.jpg,64b8a6d366a6ecc1bbf847d70cf6de5f6686a9f07302af43d41ad432d4f511d4,Watches,2017,Fastrack Women Steel-Toned Dial Watch NA6021SL02,conflict,other_years,q1_smallest,singleton,rgb,Winter,3,0.999016523361206,0.0009769595926627517,4.172325134388366e-06,512,10,8,9bd3180201f863b90acdcdc9cda5d7d1000cda64947a83b6c13aae5c8837c151,905c2d6e2ec274443daa26ccb27ffc4dfdc7c9528728d0d32dc617810d90f933,False,1726.4706309516623,0.3015618451800935,0.5623058728663788,0.43769412713362116,0.0,0.51,0.3491666666666667,0.6508333333333334,0.5912977356472421,1.6104225475886742,False,label_ambiguity_requires_human_review;weak_data_proxy;article_type_shortcut_conflict,weak_data_proxy,False,True,confidence=0.994; shortcut=conflict; mode=rgb; file_size=q1_smallest; border_lift=0.591; foreground_lift=1.610
C2,g3-c2-t0-resnet18,2753,Summer,incorrect,2,25651,0,Winter,0.9927528440537908,0.0056441402156875,g3-c2-t0-resnet18-f0-s2753-66ee7a85d5c6,data/raw/teacher/train/images_train/25651.jpg,8ef645bd1f7b3fd06bc8644aa7fd8d65581754db11d4b6eaa569b4f63a7894af,Watches,2017,Fastrack Men Black Dial Watch N9336SL03,conflict,other_years,q1_smallest,singleton,rgb,Winter,3,0.9989271759986877,0.0009204780799336731,1.7881393432617188e-06,512,10,8,eb4d4a3c44fe2ec224c4ff164f197cd9e427cb1953dda54aa643302228875b2f,a01190d87781258e9dfd75b173ba3849f460ec97abcb65bae2995e9acaacd353,False,1282.8499566867304,0.47565281894199063,0.5424929830971129,0.4575070169028871,0.0,0.51,0.5483333333333333,0.45166666666666666,0.932652586160766,0.9893489053442789,False,label_ambiguity_requires_human_review;weak_data_proxy;article_type_shortcut_conflict,weak_data_proxy,False,True,confidence=0.993; shortcut=conflict; mode=rgb; file_size=q1_smallest; border_lift=0.933; foreground_lift=0.989
C2,g3-c2-t0-resnet18,2753,Summer,incorrect,3,23487,4,Fall,0.9925027034229916,0.004527666776455,g3-c2-t0-resnet18-f4-s2753-7b3a3bf2d06e,data/raw/teacher/train/images_train/23487.jpg,408da5b083e456c1bc462404496aa6b7f28baefbb52605569b218c5f333c5f2a,Scarves,2012,Arrow Men Grey Scarf,aligned,dominant_2011_2012,q1_smallest,singleton,rgb,Fall,0,0.9989232420921326,0.0007290404755622149,1.4593242666851051e-06,512,10,8,b99f7fd286ed4d228afe069bac92e447440c851a904de3bc8c9c310bfba52f26,4c5a400a18e7de1c816c73093f40222f4889ee7d79bce55ea0b8858d89ea073c,False,2576.5971798971295,0.46359663875891044,0.5829695260526623,0.4170304739473377,0.0,0.51,0.48791666666666667,0.5120833333333333,0.9090130171743341,1.194813716931161,False,label_ambiguity_requires_human_review;weak_data_proxy,weak_data_proxy,False,True,confidence=0.993; shortcut=aligned; mode=rgb; file_size=q1_smallest; border_lift=0.909; foreground_lift=1.195
C2,g3-c2-t0-resnet18,2753,Winter,incorrect,1,4538,4,Summer,0.9975585377168404,9.595337728809015e-05,g3-c2-t0-resnet18-f4-s2753-7b3a3bf2d06e,data/raw/teacher/train/images_train/4538.jpg,d9880aed97f8b3b55ebf369ba7d845344b4fa9192cb58a6a0d793622d7a03851,Tshirts,2011,Classic Polo Men's White T-shirt with Dark Blue Stripes,conflict,dominant_2011_2012,q4_largest,singleton,rgb,Summer,2,0.9997573494911194,4.1133521335723344e-06,1.0137155185850134e-06,512,10,8,b99f7fd286ed4d228afe069bac92e447440c851a904de3bc8c9c310bfba52f26,4c5a400a18e7de1c816c73093f40222f4889ee7d79bce55ea0b8858d89ea073c,False,1375.1846498440864,0.3215511641492245,0.6144494978619468,0.38555050213805314,0.0,0.51,0.39395833333333335,0.6060416666666667,0.6304924787239696,1.55968143296528,False,label_ambiguity_requires_human_review;article_type_shortcut_conflict,article_type_shortcut_conflict,False,True,confidence=0.998; shortcut=conflict; mode=rgb; file_size=q4_largest; border_lift=0.630; foreground_lift=1.560
