candidate,experiment_id,seed,fold,run_id,checkpoint_path,checkpoint_sha256,checkpoint_bytes,history_path,history_sha256,fold_stats_sha256,training_id_sha256,validation_products
C2,g3-c2-t0-resnet18,2753,0,g3-c2-t0-resnet18-f0-s2753-66ee7a85d5c6,tmp/task2/checkpoints/g3-c2-t0-resnet18-f0-s2753-66ee7a85d5c6.pt,eb4d4a3c44fe2ec224c4ff164f197cd9e427cb1953dda54aa643302228875b2f,134179223,tmp/task2/runs/g3-c2-t0-resnet18-f0-s2753-66ee7a85d5c6/history.json,aadb640ce6d1ed88ea81351ce0c6972b5da35d58384c42e264a23e949b99a9de,a01190d87781258e9dfd75b173ba3849f460ec97abcb65bae2995e9acaacd353,e8461790cdcaebec53748aa78fc591d639ee60b11a2b73a434121e7bd965a82e,6550
C2,g3-c2-t0-resnet18,2753,1,g3-c2-t0-resnet18-f1-s2753-dc728952f19f,tmp/task2/checkpoints/g3-c2-t0-resnet18-f1-s2753-dc728952f19f.pt,9bd3180201f863b90acdcdc9cda5d7d1000cda64947a83b6c13aae5c8837c151,134179223,tmp/task2/runs/g3-c2-t0-resnet18-f1-s2753-dc728952f19f/history.json,6e51e0dd9039236f8aedfd1a23825aaeff605b68df88a6e783ecc6211c1f0913,905c2d6e2ec274443daa26ccb27ffc4dfdc7c9528728d0d32dc617810d90f933,11f76c8e36120826dcaf679992873396efd113f38265cf1a16493ee3e55c25b7,6551
C2,g3-c2-t0-resnet18,2753,2,g3-c2-t0-resnet18-f2-s2753-80377ad03917,tmp/task2/checkpoints/g3-c2-t0-resnet18-f2-s2753-80377ad03917.pt,a36f7610d8919a858f6c364ac6f7f5f42b73a406f6520686e954d247d148fcea,134179223,tmp/task2/runs/g3-c2-t0-resnet18-f2-s2753-80377ad03917/history.json,877358f846e9f0884b436ec206dfa459ef7e253449672de0f498106dc57c4e39,c3ca474747e6ae45458160b73f751b3dcf26520299e04fb10500837c7738a7b8,ae10831c9264ae8f915ea980870ad801d5d492a3d092007883572760eb45b3bf,6550
C2,g3-c2-t0-resnet18,2753,3,g3-c2-t0-resnet18-f3-s2753-7e8c480bec75,tmp/task2/checkpoints/g3-c2-t0-resnet18-f3-s2753-7e8c480bec75.pt,2cb33d8b4cf7817d7f94066356eddf77061a6d22d1a29bae6fd91f574b2b0c37,134179223,tmp/task2/runs/g3-c2-t0-resnet18-f3-s2753-7e8c480bec75/history.json,b363057731cd949c3c3dd927e7e0a2c5948683e04940468549793af2f40c7fb4,494eb1ae779d3c35a88b480b8473eac95b5cb206fd0e3f7cbe90b1aebd46bebb,5bd4bdacd0b56699a65d510af6912c392636a461a7fbc961a2a5421a16680a39,6550
C2,g3-c2-t0-resnet18,2753,4,g3-c2-t0-resnet18-f4-s2753-7b3a3bf2d06e,tmp/task2/checkpoints/g3-c2-t0-resnet18-f4-s2753-7b3a3bf2d06e.pt,b99f7fd286ed4d228afe069bac92e447440c851a904de3bc8c9c310bfba52f26,134179223,tmp/task2/runs/g3-c2-t0-resnet18-f4-s2753-7b3a3bf2d06e/history.json,505fbead648bcc435ad7805d24d61532a3c9c48d942cf34d6b0b6c4192811fe4,4c5a400a18e7de1c816c73093f40222f4889ee7d79bce55ea0b8858d89ea073c,0d5ca6e02d4b9acc117ea006c7cbb5936e9238593aff4106cadaa78be2f2507e,6552
I2,g4-i2-article-type-lambda-0-3-c1,2753,0,g4-i2-article-type-lambda-0-3-c1-f0-s2753-902fcc852d5f,tmp/task2/checkpoints/g4-i2-article-type-lambda-0-3-c1-f0-s2753-902fcc852d5f.pt,8ac50fd5ad5083a2290407e3b56b97d5370982fd69fe031391ae4c19eb5f2c61,14521135,tmp/task2/runs/g4-i2-article-type-lambda-0-3-c1-f0-s2753-902fcc852d5f/history.json,2ced38172d3eabca21c1a7c05efe904b0c650948e4dededf71abf0c463274269,a01190d87781258e9dfd75b173ba3849f460ec97abcb65bae2995e9acaacd353,e8461790cdcaebec53748aa78fc591d639ee60b11a2b73a434121e7bd965a82e,6550
I2,g4-i2-article-type-lambda-0-3-c1,2753,1,g4-i2-article-type-lambda-0-3-c1-f1-s2753-1e4b66c26b12,tmp/task2/checkpoints/g4-i2-article-type-lambda-0-3-c1-f1-s2753-1e4b66c26b12.pt,ffad535403298dd007734853b96c6e885835855b450ea056ebe8ffa2a9897429,14521135,tmp/task2/runs/g4-i2-article-type-lambda-0-3-c1-f1-s2753-1e4b66c26b12/history.json,195368c48b552b86ae41e530a6544a8cf138505e54b90ce3299e29b60ff5442b,905c2d6e2ec274443daa26ccb27ffc4dfdc7c9528728d0d32dc617810d90f933,11f76c8e36120826dcaf679992873396efd113f38265cf1a16493ee3e55c25b7,6551
I2,g4-i2-article-type-lambda-0-3-c1,2753,2,g4-i2-article-type-lambda-0-3-c1-f2-s2753-e4b6d5100cf8,tmp/task2/checkpoints/g4-i2-article-type-lambda-0-3-c1-f2-s2753-e4b6d5100cf8.pt,5398a95d48fab3dd4192557cbf2a5cea8f0a4869a73e4b37bbba512f31807fdf,14521135,tmp/task2/runs/g4-i2-article-type-lambda-0-3-c1-f2-s2753-e4b6d5100cf8/history.json,4290db45922bb542fc30ebcf05ffd7e973a91ae8a29d27b0a8c50751bc667f8a,c3ca474747e6ae45458160b73f751b3dcf26520299e04fb10500837c7738a7b8,ae10831c9264ae8f915ea980870ad801d5d492a3d092007883572760eb45b3bf,6550
I2,g4-i2-article-type-lambda-0-3-c1,2753,3,g4-i2-article-type-lambda-0-3-c1-f3-s2753-bc2ebf436c6b,tmp/task2/checkpoints/g4-i2-article-type-lambda-0-3-c1-f3-s2753-bc2ebf436c6b.pt,305530343740ded6121bab8e8c38631c71fa559746230c674647092596321c6a,14521135,tmp/task2/runs/g4-i2-article-type-lambda-0-3-c1-f3-s2753-bc2ebf436c6b/history.json,f8b3f8d5fe29612aff250d7ebea2bc2e81da3ea25256f90423ca1be1aa884953,494eb1ae779d3c35a88b480b8473eac95b5cb206fd0e3f7cbe90b1aebd46bebb,5bd4bdacd0b56699a65d510af6912c392636a461a7fbc961a2a5421a16680a39,6550
I2,g4-i2-article-type-lambda-0-3-c1,2753,4,g4-i2-article-type-lambda-0-3-c1-f4-s2753-8d210d54f01e,tmp/task2/checkpoints/g4-i2-article-type-lambda-0-3-c1-f4-s2753-8d210d54f01e.pt,c121137657f070d5521f10f4a7ac7237cf827977cf92e41e712df99b7ecfce35,14521135,tmp/task2/runs/g4-i2-article-type-lambda-0-3-c1-f4-s2753-8d210d54f01e/history.json,f69214d9809dd1109a87056a14ded47d31d6e713dae1cbd7bd2eb5d5996876fd,4c5a400a18e7de1c816c73093f40222f4889ee7d79bce55ea0b8858d89ea073c,0d5ca6e02d4b9acc117ea006c7cbb5936e9238593aff4106cadaa78be2f2507e,6552
