fold,articleType,shortcut_majority_season,majority_count,training_labeled_count,majority_share,training_id_sha256
0,Accessory Gift Set,Fall,31,74,0.4189189189189189,e8461790cdcaebec53748aa78fc591d639ee60b11a2b73a434121e7bd965a82e
0,Baby Dolls,Summer,2,2,1.0,e8461790cdcaebec53748aa78fc591d639ee60b11a2b73a434121e7bd965a82e
0,Backpacks,Summer,230,485,0.4742268041237113,e8461790cdcaebec53748aa78fc591d639ee60b11a2b73a434121e7bd965a82e
0,Bangle,Summer,18,32,0.5625,e8461790cdcaebec53748aa78fc591d639ee60b11a2b73a434121e7bd965a82e
0,Basketballs,Summer,5,9,0.5555555555555556,e8461790cdcaebec53748aa78fc591d639ee60b11a2b73a434121e7bd965a82e
0,Belts,Summer,368,542,0.6789667896678967,e8461790cdcaebec53748aa78fc591d639ee60b11a2b73a434121e7bd965a82e
0,Blazers,Summer,6,6,1.0,e8461790cdcaebec53748aa78fc591d639ee60b11a2b73a434121e7bd965a82e
0,Body Wash and Scrub,Spring,1,1,1.0,e8461790cdcaebec53748aa78fc591d639ee60b11a2b73a434121e7bd965a82e
0,Booties,Summer,7,7,1.0,e8461790cdcaebec53748aa78fc591d639ee60b11a2b73a434121e7bd965a82e
0,Boxers,Summer,27,27,1.0,e8461790cdcaebec53748aa78fc591d639ee60b11a2b73a434121e7bd965a82e
0,Bra,Summer,142,202,0.7029702970297029,e8461790cdcaebec53748aa78fc591d639ee60b11a2b73a434121e7bd965a82e
0,Bracelet,Winter,15,28,0.5357142857142857,e8461790cdcaebec53748aa78fc591d639ee60b11a2b73a434121e7bd965a82e
0,Briefs,Summer,391,456,0.8574561403508771,e8461790cdcaebec53748aa78fc591d639ee60b11a2b73a434121e7bd965a82e
0,Camisoles,Winter,5,10,0.5,e8461790cdcaebec53748aa78fc591d639ee60b11a2b73a434121e7bd965a82e
0,Capris,Summer,82,110,0.7454545454545455,e8461790cdcaebec53748aa78fc591d639ee60b11a2b73a434121e7bd965a82e
0,Caps,Summer,98,185,0.5297297297297298,e8461790cdcaebec53748aa78fc591d639ee60b11a2b73a434121e7bd965a82e
0,Casual Shoes,Summer,903,1819,0.4964266080263881,e8461790cdcaebec53748aa78fc591d639ee60b11a2b73a434121e7bd965a82e
0,Churidar,Summer,17,21,0.8095238095238095,e8461790cdcaebec53748aa78fc591d639ee60b11a2b73a434121e7bd965a82e
0,Clothing Set,Summer,6,6,1.0,e8461790cdcaebec53748aa78fc591d639ee60b11a2b73a434121e7bd965a82e
0,Clutches,Summer,99,152,0.6513157894736842,e8461790cdcaebec53748aa78fc591d639ee60b11a2b73a434121e7bd965a82e
0,Compact,Spring,4,4,1.0,e8461790cdcaebec53748aa78fc591d639ee60b11a2b73a434121e7bd965a82e
0,Concealer,Spring,2,2,1.0,e8461790cdcaebec53748aa78fc591d639ee60b11a2b73a434121e7bd965a82e
0,Cufflinks,Summer,18,25,0.72,e8461790cdcaebec53748aa78fc591d639ee60b11a2b73a434121e7bd965a82e
0,Cushion Covers,Fall,1,1,1.0,e8461790cdcaebec53748aa78fc591d639ee60b11a2b73a434121e7bd965a82e
0,Deodorant,Spring,195,199,0.9798994974874372,e8461790cdcaebec53748aa78fc591d639ee60b11a2b73a434121e7bd965a82e
0,Dresses,Summer,194,232,0.8362068965517241,e8461790cdcaebec53748aa78fc591d639ee60b11a2b73a434121e7bd965a82e
0,Duffel Bag,Summer,31,59,0.5254237288135594,e8461790cdcaebec53748aa78fc591d639ee60b11a2b73a434121e7bd965a82e
0,Dupatta,Summer,69,80,0.8625,e8461790cdcaebec53748aa78fc591d639ee60b11a2b73a434121e7bd965a82e
0,Earrings,Winter,71,126,0.5634920634920635,e8461790cdcaebec53748aa78fc591d639ee60b11a2b73a434121e7bd965a82e
0,Eyeshadow,Spring,2,2,1.0,e8461790cdcaebec53748aa78fc591d639ee60b11a2b73a434121e7bd965a82e
0,Flats,Winter,173,287,0.6027874564459931,e8461790cdcaebec53748aa78fc591d639ee60b11a2b73a434121e7bd965a82e
0,Flip Flops,Summer,284,587,0.4838160136286201,e8461790cdcaebec53748aa78fc591d639ee60b11a2b73a434121e7bd965a82e
0,Footballs,Fall,5,5,1.0,e8461790cdcaebec53748aa78fc591d639ee60b11a2b73a434121e7bd965a82e
0,Formal Shoes,Summer,189,414,0.45652173913043476,e8461790cdcaebec53748aa78fc591d639ee60b11a2b73a434121e7bd965a82e
0,Foundation and Primer,Spring,7,7,1.0,e8461790cdcaebec53748aa78fc591d639ee60b11a2b73a434121e7bd965a82e
0,Fragrance Gift Set,Spring,38,38,1.0,e8461790cdcaebec53748aa78fc591d639ee60b11a2b73a434121e7bd965a82e
0,Free Gifts,Winter,28,46,0.6086956521739131,e8461790cdcaebec53748aa78fc591d639ee60b11a2b73a434121e7bd965a82e
0,Gloves,Summer,9,14,0.6428571428571429,e8461790cdcaebec53748aa78fc591d639ee60b11a2b73a434121e7bd965a82e
0,Handbags,Summer,487,978,0.49795501022494887,e8461790cdcaebec53748aa78fc591d639ee60b11a2b73a434121e7bd965a82e
0,Hat,Fall,2,2,1.0,e8461790cdcaebec53748aa78fc591d639ee60b11a2b73a434121e7bd965a82e
0,Headband,Fall,2,4,0.5,e8461790cdcaebec53748aa78fc591d639ee60b11a2b73a434121e7bd965a82e
0,Heels,Winter,500,711,0.7032348804500703,e8461790cdcaebec53748aa78fc591d639ee60b11a2b73a434121e7bd965a82e
0,Highlighter and Blush,Spring,4,4,1.0,e8461790cdcaebec53748aa78fc591d639ee60b11a2b73a434121e7bd965a82e
0,Innerwear Vests,Summer,150,165,0.9090909090909091,e8461790cdcaebec53748aa78fc591d639ee60b11a2b73a434121e7bd965a82e
0,Ipad,Summer,1,1,1.0,e8461790cdcaebec53748aa78fc591d639ee60b11a2b73a434121e7bd965a82e
0,Jackets,Fall,106,155,0.6838709677419355,e8461790cdcaebec53748aa78fc591d639ee60b11a2b73a434121e7bd965a82e
0,Jeans,Summer,211,378,0.5582010582010583,e8461790cdcaebec53748aa78fc591d639ee60b11a2b73a434121e7bd965a82e
0,Jeggings,Summer,16,18,0.8888888888888888,e8461790cdcaebec53748aa78fc591d639ee60b11a2b73a434121e7bd965a82e
0,Jewellery Set,Summer,19,32,0.59375,e8461790cdcaebec53748aa78fc591d639ee60b11a2b73a434121e7bd965a82e
0,Jumpsuit,Summer,7,8,0.875,e8461790cdcaebec53748aa78fc591d639ee60b11a2b73a434121e7bd965a82e
0,Kajal and Eyeliner,Spring,8,8,1.0,e8461790cdcaebec53748aa78fc591d639ee60b11a2b73a434121e7bd965a82e
0,Key chain,Winter,1,1,1.0,e8461790cdcaebec53748aa78fc591d639ee60b11a2b73a434121e7bd965a82e
0,Kurta Sets,Fall,27,51,0.5294117647058824,e8461790cdcaebec53748aa78fc591d639ee60b11a2b73a434121e7bd965a82e
0,Kurtas,Summer,641,1059,0.6052880075542965,e8461790cdcaebec53748aa78fc591d639ee60b11a2b73a434121e7bd965a82e
0,Kurtis,Summer,88,139,0.6330935251798561,e8461790cdcaebec53748aa78fc591d639ee60b11a2b73a434121e7bd965a82e
0,Laptop Bag,Summer,29,55,0.5272727272727272,e8461790cdcaebec53748aa78fc591d639ee60b11a2b73a434121e7bd965a82e
0,Leggings,Summer,60,109,0.5504587155963303,e8461790cdcaebec53748aa78fc591d639ee60b11a2b73a434121e7bd965a82e
0,Lehenga Choli,Summer,2,2,1.0,e8461790cdcaebec53748aa78fc591d639ee60b11a2b73a434121e7bd965a82e
0,Lip Gloss,Spring,4,4,1.0,e8461790cdcaebec53748aa78fc591d639ee60b11a2b73a434121e7bd965a82e
0,Lip Liner,Spring,9,9,1.0,e8461790cdcaebec53748aa78fc591d639ee60b11a2b73a434121e7bd965a82e
0,Lip Plumper,Spring,2,2,1.0,e8461790cdcaebec53748aa78fc591d639ee60b11a2b73a434121e7bd965a82e
0,Lipstick,Spring,10,10,1.0,e8461790cdcaebec53748aa78fc591d639ee60b11a2b73a434121e7bd965a82e
0,Lounge Pants,Summer,28,36,0.7777777777777778,e8461790cdcaebec53748aa78fc591d639ee60b11a2b73a434121e7bd965a82e
0,Lounge Shorts,Winter,13,23,0.5652173913043478,e8461790cdcaebec53748aa78fc591d639ee60b11a2b73a434121e7bd965a82e
0,Lounge Tshirts,Summer,1,1,1.0,e8461790cdcaebec53748aa78fc591d639ee60b11a2b73a434121e7bd965a82e
0,Messenger Bag,Summer,17,30,0.5666666666666667,e8461790cdcaebec53748aa78fc591d639ee60b11a2b73a434121e7bd965a82e
0,Mobile Pouch,Summer,17,32,0.53125,e8461790cdcaebec53748aa78fc591d639ee60b11a2b73a434121e7bd965a82e
0,Mufflers,Fall,19,26,0.7307692307692307,e8461790cdcaebec53748aa78fc591d639ee60b11a2b73a434121e7bd965a82e
0,Nail Polish,Spring,12,12,1.0,e8461790cdcaebec53748aa78fc591d639ee60b11a2b73a434121e7bd965a82e
0,Necklace and Chains,Fall,19,43,0.4418604651162791,e8461790cdcaebec53748aa78fc591d639ee60b11a2b73a434121e7bd965a82e
0,Nehru Jackets,Summer,4,4,1.0,e8461790cdcaebec53748aa78fc591d639ee60b11a2b73a434121e7bd965a82e
0,Night suits,Summer,46,48,0.9583333333333334,e8461790cdcaebec53748aa78fc591d639ee60b11a2b73a434121e7bd965a82e
0,Nightdress,Summer,27,27,1.0,e8461790cdcaebec53748aa78fc591d639ee60b11a2b73a434121e7bd965a82e
0,Patiala,Fall,17,19,0.8947368421052632,e8461790cdcaebec53748aa78fc591d639ee60b11a2b73a434121e7bd965a82e
0,Pendant,Summer,82,100,0.82,e8461790cdcaebec53748aa78fc591d639ee60b11a2b73a434121e7bd965a82e
0,Perfume and Body Mist,Spring,379,379,1.0,e8461790cdcaebec53748aa78fc591d639ee60b11a2b73a434121e7bd965a82e
0,Rain Jacket,Summer,1,1,1.0,e8461790cdcaebec53748aa78fc591d639ee60b11a2b73a434121e7bd965a82e
0,Rain Trousers,Summer,1,1,1.0,e8461790cdcaebec53748aa78fc591d639ee60b11a2b73a434121e7bd965a82e
0,Ring,Summer,63,79,0.7974683544303798,e8461790cdcaebec53748aa78fc591d639ee60b11a2b73a434121e7bd965a82e
0,Robe,Summer,2,2,1.0,e8461790cdcaebec53748aa78fc591d639ee60b11a2b73a434121e7bd965a82e
0,Rompers,Summer,8,8,1.0,e8461790cdcaebec53748aa78fc591d639ee60b11a2b73a434121e7bd965a82e
0,Rucksacks,Winter,8,8,1.0,e8461790cdcaebec53748aa78fc591d639ee60b11a2b73a434121e7bd965a82e
0,Salwar,Summer,22,23,0.9565217391304348,e8461790cdcaebec53748aa78fc591d639ee60b11a2b73a434121e7bd965a82e
0,Salwar and Dupatta,Summer,4,5,0.8,e8461790cdcaebec53748aa78fc591d639ee60b11a2b73a434121e7bd965a82e
0,Sandals,Summer,295,589,0.5008488964346349,e8461790cdcaebec53748aa78fc591d639ee60b11a2b73a434121e7bd965a82e
0,Sarees,Summer,70,104,0.6730769230769231,e8461790cdcaebec53748aa78fc591d639ee60b11a2b73a434121e7bd965a82e
0,Scarves,Summer,46,75,0.6133333333333333,e8461790cdcaebec53748aa78fc591d639ee60b11a2b73a434121e7bd965a82e
0,Shapewear,Summer,1,2,0.5,e8461790cdcaebec53748aa78fc591d639ee60b11a2b73a434121e7bd965a82e
0,Shirts,Fall,1177,2091,0.5628885700621712,e8461790cdcaebec53748aa78fc591d639ee60b11a2b73a434121e7bd965a82e
0,Shoe Accessories,Fall,9,16,0.5625,e8461790cdcaebec53748aa78fc591d639ee60b11a2b73a434121e7bd965a82e
0,Shoe Laces,Summer,1,1,1.0,e8461790cdcaebec53748aa78fc591d639ee60b11a2b73a434121e7bd965a82e
0,Shorts,Summer,222,359,0.6183844011142061,e8461790cdcaebec53748aa78fc591d639ee60b11a2b73a434121e7bd965a82e
0,Shrug,Fall,1,2,0.5,e8461790cdcaebec53748aa78fc591d639ee60b11a2b73a434121e7bd965a82e
0,Skirts,Summer,59,80,0.7375,e8461790cdcaebec53748aa78fc591d639ee60b11a2b73a434121e7bd965a82e
0,Socks,Summer,332,418,0.7942583732057417,e8461790cdcaebec53748aa78fc591d639ee60b11a2b73a434121e7bd965a82e
0,Sports Sandals,Summer,21,44,0.4772727272727273,e8461790cdcaebec53748aa78fc591d639ee60b11a2b73a434121e7bd965a82e
0,Sports Shoes,Summer,795,1335,0.5955056179775281,e8461790cdcaebec53748aa78fc591d639ee60b11a2b73a434121e7bd965a82e
0,Stockings,Fall,7,14,0.5,e8461790cdcaebec53748aa78fc591d639ee60b11a2b73a434121e7bd965a82e
0,Stoles,Summer,57,62,0.9193548387096774,e8461790cdcaebec53748aa78fc591d639ee60b11a2b73a434121e7bd965a82e
0,Sunglasses,Winter,690,711,0.9704641350210971,e8461790cdcaebec53748aa78fc591d639ee60b11a2b73a434121e7bd965a82e
0,Suspenders,Summer,28,28,1.0,e8461790cdcaebec53748aa78fc591d639ee60b11a2b73a434121e7bd965a82e
0,Sweaters,Fall,161,188,0.8563829787234043,e8461790cdcaebec53748aa78fc591d639ee60b11a2b73a434121e7bd965a82e
0,Sweatshirts,Fall,175,191,0.9162303664921466,e8461790cdcaebec53748aa78fc591d639ee60b11a2b73a434121e7bd965a82e
0,Swimwear,Summer,5,12,0.4166666666666667,e8461790cdcaebec53748aa78fc591d639ee60b11a2b73a434121e7bd965a82e
0,Tablet Sleeve,Summer,2,2,1.0,e8461790cdcaebec53748aa78fc591d639ee60b11a2b73a434121e7bd965a82e
0,Ties,Summer,111,145,0.7655172413793103,e8461790cdcaebec53748aa78fc591d639ee60b11a2b73a434121e7bd965a82e
0,Tights,Summer,6,6,1.0,e8461790cdcaebec53748aa78fc591d639ee60b11a2b73a434121e7bd965a82e
0,Tops,Summer,790,1095,0.7214611872146118,e8461790cdcaebec53748aa78fc591d639ee60b11a2b73a434121e7bd965a82e
0,Track Pants,Fall,98,200,0.49,e8461790cdcaebec53748aa78fc591d639ee60b11a2b73a434121e7bd965a82e
0,Tracksuits,Fall,11,19,0.5789473684210527,e8461790cdcaebec53748aa78fc591d639ee60b11a2b73a434121e7bd965a82e
0,Travel Accessory,Summer,6,9,0.6666666666666666,e8461790cdcaebec53748aa78fc591d639ee60b11a2b73a434121e7bd965a82e
0,Trolley Bag,Summer,3,3,1.0,e8461790cdcaebec53748aa78fc591d639ee60b11a2b73a434121e7bd965a82e
0,Trousers,Summer,188,350,0.5371428571428571,e8461790cdcaebec53748aa78fc591d639ee60b11a2b73a434121e7bd965a82e
0,Trunk,Summer,75,96,0.78125,e8461790cdcaebec53748aa78fc591d639ee60b11a2b73a434121e7bd965a82e
0,Tshirts,Summer,2786,4597,0.6060474222318903,e8461790cdcaebec53748aa78fc591d639ee60b11a2b73a434121e7bd965a82e
0,Tunics,Summer,89,120,0.7416666666666667,e8461790cdcaebec53748aa78fc591d639ee60b11a2b73a434121e7bd965a82e
0,Umbrellas,Summer,4,4,1.0,e8461790cdcaebec53748aa78fc591d639ee60b11a2b73a434121e7bd965a82e
0,Waist Pouch,Winter,9,12,0.75,e8461790cdcaebec53748aa78fc591d639ee60b11a2b73a434121e7bd965a82e
0,Waistcoat,Fall,5,9,0.5555555555555556,e8461790cdcaebec53748aa78fc591d639ee60b11a2b73a434121e7bd965a82e
