candidate,experiment_id,seed,rank,true_label,predicted_label,count,share_of_all_errors,share_of_true_label,share_of_true_label_errors,mean_confidence,high_confidence_count,high_confidence_rate
C2,g5-c2-t0-resnet18-s2026,2026,1,Fall,Summer,2724,0.3226723525230988,0.30510752688172044,0.884990253411306,0.6704804845668496,692,0.2540381791483113
C2,g5-c2-t0-resnet18-s2026,2026,2,Summer,Fall,1863,0.22068230277185502,0.11475207884200801,0.6220367278797997,0.6558132330800536,427,0.22920021470746108
C2,g5-c2-t0-resnet18-s2026,2026,3,Winter,Summer,1523,0.18040748637763562,0.24325187669701326,0.8135683760683761,0.6448224419562815,341,0.22390019697964544
C2,g5-c2-t0-resnet18-s2026,2026,4,Summer,Winter,1087,0.12876095711916608,0.06695411148752695,0.36293823038397327,0.6382293967665503,219,0.2014719411223551
C2,g5-c2-t0-resnet18-s2026,2026,5,Fall,Winter,346,0.040985548448235015,0.03875448028673835,0.11241065627030539,0.5940372083400716,56,0.16184971098265896
C2,g5-c2-t0-resnet18-s2026,2026,6,Winter,Fall,338,0.0400379057095475,0.053984986423893946,0.18055555555555555,0.6056839316730669,70,0.20710059171597633
C2,g5-c2-t0-resnet18-s2026,2026,7,Spring,Summer,316,0.03743188817815683,0.23777276147479307,0.635814889336016,0.6584410243962384,86,0.2721518987341772
C2,g5-c2-t0-resnet18-s2026,2026,8,Spring,Fall,102,0.012082444918265814,0.07674943566591422,0.2052313883299799,0.5739972135599922,10,0.09803921568627451
C2,g3-c2-t0-resnet18,2753,1,Fall,Summer,3041,0.3681152402856797,0.3406137992831541,0.8920504546787914,0.7040515574174898,973,0.3199605392962841
C2,g3-c2-t0-resnet18,2753,2,Winter,Summer,1583,0.19162329015857643,0.2528350103817282,0.8433670751198722,0.6747160727512362,407,0.2571067593177511
C2,g3-c2-t0-resnet18,2753,3,Summer,Fall,1430,0.17310252996005326,0.08808130582075763,0.5756843800322061,0.6629922626735447,340,0.23776223776223776
C2,g3-c2-t0-resnet18,2753,4,Summer,Winter,1009,0.12214017673405157,0.06214967662457653,0.4061996779388084,0.6608443760836443,242,0.2398414271555996
C2,g3-c2-t0-resnet18,2753,5,Fall,Winter,354,0.042851954969132064,0.0396505376344086,0.10384276914051041,0.6271127322636082,77,0.2175141242937853
C2,g3-c2-t0-resnet18,2753,6,Spring,Summer,336,0.040673042004599924,0.2528216704288939,0.6843177189409368,0.689984670086276,104,0.30952380952380953
C2,g3-c2-t0-resnet18,2753,7,Winter,Fall,278,0.033652100229996366,0.04440185273917904,0.148108684070325,0.6336360181407105,64,0.2302158273381295
C2,g3-c2-t0-resnet18,2753,8,Spring,Fall,84,0.010168260501149981,0.06320541760722348,0.1710794297352342,0.621945125006494,16,0.19047619047619047
I2,g5-i2-article-type-lambda-0-3-c1-s2026,2026,1,Fall,Summer,2750,0.34110642520466383,0.30801971326164873,0.88,0.6963366369767623,852,0.3098181818181818
I2,g5-i2-article-type-lambda-0-3-c1-s2026,2026,2,Summer,Fall,1658,0.2056561647233937,0.10212503849707422,0.5813464235624124,0.6819837566451659,463,0.2792521109770808
I2,g5-i2-article-type-lambda-0-3-c1-s2026,2026,3,Winter,Summer,1288,0.1597618456958571,0.20571793643187988,0.809553739786298,0.6703602709338902,327,0.25388198757763975
I2,g5-i2-article-type-lambda-0-3-c1-s2026,2026,4,Summer,Winter,1165,0.14450508558670305,0.07175854635047736,0.40848527349228614,0.6645828708814449,290,0.24892703862660945
I2,g5-i2-article-type-lambda-0-3-c1-s2026,2026,5,Fall,Winter,362,0.044902009426941204,0.040546594982078854,0.11584,0.6328051491172274,76,0.20994475138121546
I2,g5-i2-article-type-lambda-0-3-c1-s2026,2026,6,Spring,Summer,332,0.04118084842470851,0.24981188863807374,0.6720647773279352,0.6941554188189736,110,0.3313253012048193
I2,g5-i2-article-type-lambda-0-3-c1-s2026,2026,7,Winter,Fall,295,0.03659141652195485,0.047117073949848265,0.18541797611565053,0.6367886879686582,66,0.22372881355932203
I2,g5-i2-article-type-lambda-0-3-c1-s2026,2026,8,Spring,Fall,82,0.010171173406102704,0.06170052671181339,0.1659919028340081,0.6423397198682879,21,0.25609756097560976
I2,g4-i2-article-type-lambda-0-3-c1,2753,1,Fall,Summer,2685,0.34516004627844193,0.30073924731182794,0.899798927613941,0.6983951035602577,824,0.3068901303538175
I2,g4-i2-article-type-lambda-0-3-c1,2753,2,Summer,Fall,1598,0.20542486180743025,0.09842931937172775,0.6353876739562624,0.6775906727519889,419,0.26220275344180227
I2,g4-i2-article-type-lambda-0-3-c1,2753,3,Winter,Summer,1453,0.18678493379611774,0.23207155406484586,0.8023191606847045,0.6754799295891094,392,0.2697866483138334
I2,g4-i2-article-type-lambda-0-3-c1,2753,4,Summer,Winter,876,0.11261087543386039,0.05395749923005851,0.3483101391650099,0.6595760917962958,218,0.24885844748858446
I2,g4-i2-article-type-lambda-0-3-c1,2753,5,Winter,Fall,348,0.04473582722715002,0.05558217537134643,0.1921590281612369,0.6064546628073714,59,0.16954022988505746
I2,g4-i2-article-type-lambda-0-3-c1,2753,6,Spring,Summer,314,0.04036508548656639,0.236267870579383,0.6695095948827292,0.6789242536968486,93,0.2961783439490446
I2,g4-i2-article-type-lambda-0-3-c1,2753,7,Fall,Winter,290,0.03727985602262501,0.032482078853046596,0.09718498659517426,0.6163022829540845,46,0.15862068965517243
I2,g4-i2-article-type-lambda-0-3-c1,2753,8,Spring,Fall,94,0.012083815400437074,0.07072987208427389,0.20042643923240938,0.6447602164872149,18,0.19148936170212766
