candidate,experiment_id,seed,confusion_rank,id,fold,true_label,predicted_label,confidence,true_probability,article_type_shortcut,acquisition_year,file_size_quartile,product_family_size,image_mode,run_id
C2,g5-c2-t0-resnet18-s2026,2026,1,2269,4,Fall,Summer,0.9990425705909728,0.0007693972438573,conflict,other_years,q1_smallest,singleton,rgb,g5-c2-t0-resnet18-s2026-f4-s2026-b9ac258333f7
C2,g5-c2-t0-resnet18-s2026,2026,2,19594,4,Summer,Fall,0.9995824694633484,0.0003867084742523,aligned,dominant_2011_2012,q1_smallest,singleton,rgb,g5-c2-t0-resnet18-s2026-f4-s2026-b9ac258333f7
C2,g5-c2-t0-resnet18-s2026,2026,3,4538,4,Winter,Summer,0.9986417889595032,4.37589676494099e-07,conflict,dominant_2011_2012,q4_largest,singleton,rgb,g5-c2-t0-resnet18-s2026-f4-s2026-b9ac258333f7
C2,g5-c2-t0-resnet18-s2026,2026,4,29871,0,Summer,Winter,0.9987799525260924,0.0010710547212511,conflict,other_years,q3,multirow,rgb,g5-c2-t0-resnet18-s2026-f0-s2026-5444e94d7f03
C2,g5-c2-t0-resnet18-s2026,2026,5,40009,1,Fall,Winter,0.9971109628677368,0.0010609439341351,conflict,dominant_2011_2012,q3,singleton,rgb,g5-c2-t0-resnet18-s2026-f1-s2026-4a70c208e6c1
C2,g5-c2-t0-resnet18-s2026,2026,6,14067,4,Winter,Fall,0.998723566532135,2.031479880315601e-06,conflict,other_years,q2,multirow,rgb,g5-c2-t0-resnet18-s2026-f4-s2026-b9ac258333f7
C2,g5-c2-t0-resnet18-s2026,2026,7,5212,3,Spring,Summer,0.9982740879058838,0.0003523286432027,conflict,other_years,q4_largest,singleton,rgb,g5-c2-t0-resnet18-s2026-f3-s2026-00bc83e754cd
C2,g5-c2-t0-resnet18-s2026,2026,8,12348,0,Spring,Fall,0.9752869606018066,0.0009805790614336,conflict,other_years,q1_smallest,singleton,rgb,g5-c2-t0-resnet18-s2026-f0-s2026-5444e94d7f03
C2,g3-c2-t0-resnet18,2753,1,12850,3,Fall,Summer,0.9993066787719728,0.0006818283582106,conflict,dominant_2011_2012,q1_smallest,singleton,rgb,g3-c2-t0-resnet18-f3-s2753-7e8c480bec75
C2,g3-c2-t0-resnet18,2753,2,4538,4,Winter,Summer,0.999756395816803,4.15636895922944e-06,conflict,dominant_2011_2012,q4_largest,singleton,rgb,g3-c2-t0-resnet18-f4-s2753-7b3a3bf2d06e
C2,g3-c2-t0-resnet18,2753,3,23487,4,Summer,Fall,0.9989221096038818,0.0007304997998289,aligned,dominant_2011_2012,q1_smallest,singleton,rgb,g3-c2-t0-resnet18-f4-s2753-7b3a3bf2d06e
C2,g3-c2-t0-resnet18,2753,4,17428,2,Summer,Winter,0.9992170333862304,0.0006679280195385,conflict,other_years,q1_smallest,singleton,rgb,g3-c2-t0-resnet18-f2-s2753-80377ad03917
C2,g3-c2-t0-resnet18,2753,5,19264,1,Fall,Winter,0.9989452958106996,7.820840983185917e-05,conflict,dominant_2011_2012,q1_smallest,multirow,rgb,g3-c2-t0-resnet18-f1-s2753-dc728952f19f
C2,g3-c2-t0-resnet18,2753,6,5212,3,Spring,Summer,0.9967721104621888,0.0020224847830832,conflict,other_years,q4_largest,singleton,rgb,g3-c2-t0-resnet18-f3-s2753-7e8c480bec75
C2,g3-c2-t0-resnet18,2753,7,12253,2,Winter,Fall,0.9958783388137816,0.0013526459224522,conflict,dominant_2011_2012,q2,multirow,rgb,g3-c2-t0-resnet18-f2-s2753-80377ad03917
C2,g3-c2-t0-resnet18,2753,8,8387,0,Spring,Fall,0.9880316257476808,0.0001956106571014,conflict,other_years,q1_smallest,multirow,rgb,g3-c2-t0-resnet18-f0-s2753-66ee7a85d5c6
I2,g5-i2-article-type-lambda-0-3-c1-s2026,2026,1,28491,3,Fall,Summer,0.9996351003646852,0.000159645860549,conflict,dominant_2011_2012,q3,singleton,rgb,g5-i2-article-type-lambda-0-3-c1-s2026-f3-s2026-6b9c1de81133
I2,g5-i2-article-type-lambda-0-3-c1-s2026,2026,2,13954,1,Summer,Fall,0.9993894100189208,0.000607221678365,aligned,dominant_2011_2012,q2,singleton,rgb,g5-i2-article-type-lambda-0-3-c1-s2026-f1-s2026-468c5970b6da
I2,g5-i2-article-type-lambda-0-3-c1-s2026,2026,3,21426,2,Winter,Summer,0.9997850060462952,0.0001819928438635,conflict,dominant_2011_2012,q2,singleton,rgb,g5-i2-article-type-lambda-0-3-c1-s2026-f2-s2026-e3a99b99e40e
I2,g5-i2-article-type-lambda-0-3-c1-s2026,2026,4,25666,2,Summer,Winter,0.9997844099998474,0.0001746792113408,conflict,other_years,q1_smallest,singleton,rgb,g5-i2-article-type-lambda-0-3-c1-s2026-f2-s2026-e3a99b99e40e
I2,g5-i2-article-type-lambda-0-3-c1-s2026,2026,5,19289,2,Fall,Winter,0.999489426612854,0.0002570768119767,conflict,dominant_2011_2012,q1_smallest,singleton,rgb,g5-i2-article-type-lambda-0-3-c1-s2026-f2-s2026-e3a99b99e40e
I2,g5-i2-article-type-lambda-0-3-c1-s2026,2026,6,5212,3,Spring,Summer,0.9962655901908876,0.0012177228927612,conflict,other_years,q4_largest,singleton,rgb,g5-i2-article-type-lambda-0-3-c1-s2026-f3-s2026-6b9c1de81133
I2,g5-i2-article-type-lambda-0-3-c1-s2026,2026,7,14039,0,Winter,Fall,0.9965991377830504,0.0016945132520049,conflict,other_years,q1_smallest,multirow,rgb,g5-i2-article-type-lambda-0-3-c1-s2026-f0-s2026-af9e3079222a
I2,g5-i2-article-type-lambda-0-3-c1-s2026,2026,8,8387,0,Spring,Fall,0.9906548857688904,7.27180959074758e-05,conflict,other_years,q1_smallest,multirow,rgb,g5-i2-article-type-lambda-0-3-c1-s2026-f0-s2026-af9e3079222a
I2,g4-i2-article-type-lambda-0-3-c1,2753,1,38856,0,Fall,Summer,0.9996812343597412,0.0001963768445421,conflict,dominant_2011_2012,q1_smallest,singleton,rgb,g4-i2-article-type-lambda-0-3-c1-f0-s2753-902fcc852d5f
I2,g4-i2-article-type-lambda-0-3-c1,2753,2,19594,4,Summer,Fall,0.9998064637184144,0.0001593616761965,aligned,dominant_2011_2012,q1_smallest,singleton,rgb,g4-i2-article-type-lambda-0-3-c1-f4-s2753-8d210d54f01e
I2,g4-i2-article-type-lambda-0-3-c1,2753,3,4538,4,Winter,Summer,0.999671220779419,2.779338728942093e-06,conflict,dominant_2011_2012,q4_largest,singleton,rgb,g4-i2-article-type-lambda-0-3-c1-f4-s2753-8d210d54f01e
I2,g4-i2-article-type-lambda-0-3-c1,2753,4,40528,1,Summer,Winter,0.9998756647109984,0.0001235330419149,conflict,other_years,q4_largest,singleton,rgb,g4-i2-article-type-lambda-0-3-c1-f1-s2753-1e4b66c26b12
I2,g4-i2-article-type-lambda-0-3-c1,2753,5,14039,0,Winter,Fall,0.9973493814468384,0.0022138867061585,conflict,other_years,q1_smallest,multirow,rgb,g4-i2-article-type-lambda-0-3-c1-f0-s2753-902fcc852d5f
I2,g4-i2-article-type-lambda-0-3-c1,2753,6,39798,4,Spring,Summer,0.9983288645744324,0.0012001540744677,conflict,other_years,q1_smallest,multirow,rgb,g4-i2-article-type-lambda-0-3-c1-f4-s2753-8d210d54f01e
I2,g4-i2-article-type-lambda-0-3-c1,2753,7,40009,1,Fall,Winter,0.9993170499801636,7.178406121965963e-06,conflict,dominant_2011_2012,q3,singleton,rgb,g4-i2-article-type-lambda-0-3-c1-f1-s2753-1e4b66c26b12
I2,g4-i2-article-type-lambda-0-3-c1,2753,8,8387,0,Spring,Fall,0.9950093030929564,3.774374636122957e-05,conflict,other_years,q1_smallest,multirow,rgb,g4-i2-article-type-lambda-0-3-c1-f0-s2753-902fcc852d5f
