candidate,seed,slice_family,contrast,reference_slice,comparison_slice,reference_support,comparison_support,reference_accuracy,comparison_accuracy,comparison_minus_reference_accuracy,reference_macro_f1,comparison_macro_f1,comparison_minus_reference_macro_f1,reference_mean_confidence,comparison_mean_confidence,comparison_minus_reference_mean_confidence
C2,2026,acquisition_year,other_minus_dominant_2011_2012,dominant_2011_2012,other_years,22896,9857,0.7520964360587002,0.7193872374961956,-0.03270919856250465,0.5345027396557616,0.6662601155265264,0.13175737587076486,0.7727976736503931,0.7902813113593203,0.017483637708927247
C2,2026,article_type_shortcut,conflict_minus_aligned,aligned,conflict,21115,11619,0.8613308074828321,0.5264652723986574,-0.3348655350841747,0.8485903111676979,0.4009179384033325,-0.4476723727643654,0.8114418846466178,0.7174937212535935,-0.09394816339302436
C2,2026,file_size_quartile,q4_largest_minus_q1_smallest,q1_smallest,q4_largest,8187,8193,0.7485037254183462,0.7662638838032467,0.017760158384900526,0.6449123774353247,0.6936840484212201,0.04877167098589541,0.7997716865842998,0.788713802108249,-0.011057884476050717
C2,2026,image_mode,greyscale_minus_rgb,rgb,greyscale,32459,294,0.7424443143658154,0.7210884353741497,-0.02135587899166569,0.7337010025281866,0.5634993432510721,-0.1702016592771145,0.7788206550966567,0.6940094496117157,-0.08481120548494092
C2,2026,product_family_size,multirow_minus_singleton,singleton,multirow,19023,13730,0.7330074120801136,0.755061908230153,0.022054496150039404,0.730294268908743,0.7220071481854226,-0.008287120723320496,0.7733326788073439,0.7846082209043058,0.01127554209696191
C2,2753,acquisition_year,other_minus_dominant_2011_2012,dominant_2011_2012,other_years,22896,9857,0.7581236897274634,0.7237496195597037,-0.03437407016775962,0.5489278452978782,0.6666643849071443,0.11773653960926611,0.7969417324280568,0.8184167326125555,0.02147500018449877
C2,2753,article_type_shortcut,conflict_minus_aligned,aligned,conflict,21115,11619,0.8774804641250296,0.512866856011705,-0.36461360811332455,0.8601264835564354,0.40538143231475354,-0.45474505124168185,0.8383849916160601,0.7399584696418868,-0.09842652197417323
C2,2753,file_size_quartile,q4_largest_minus_q1_smallest,q1_smallest,q4_largest,8187,8193,0.7538780994259191,0.7793238130111071,0.02544571358518799,0.6518472872741952,0.7084082979809507,0.056561010706755566,0.8172931518836585,0.8184907019181986,0.0011975500345401402
C2,2753,image_mode,greyscale_minus_rgb,rgb,greyscale,32459,294,0.7477741150374319,0.7482993197278912,0.0005252046904593577,0.7352462844242935,0.6126126263241203,-0.12263365810017324,0.8040128110831163,0.7362578370335962,-0.06775497404952013
C2,2753,product_family_size,multirow_minus_singleton,singleton,multirow,19023,13730,0.7342690427377385,0.7664967225054625,0.032227679767724005,0.7291637304151487,0.726528633161754,-0.0026350972533947248,0.7999830709793136,0.8081452061030783,0.008162135123764624
I2,2026,acquisition_year,other_minus_dominant_2011_2012,dominant_2011_2012,other_years,22896,9857,0.7617924528301887,0.7354164553109466,-0.026375997519242134,0.5688989988282935,0.6684579613501848,0.09955896252189123,0.799819129557563,0.819529964287842,0.019710834730279014
I2,2026,article_type_shortcut,conflict_minus_aligned,aligned,conflict,21115,11619,0.8711816244376036,0.5415268095361047,-0.32965481490149895,0.8585717900648061,0.4279114173427857,-0.4306603727220204,0.8387770445672026,0.7457609028637291,-0.0930161417034735
I2,2026,file_size_quartile,q4_largest_minus_q1_smallest,q1_smallest,q4_largest,8187,8193,0.7621839501648956,0.7821310875137313,0.019947137348835686,0.6693102411932323,0.7131254230594868,0.04381518186625444,0.8239490359683053,0.8173279358756335,-0.0066211000926718055
I2,2026,image_mode,greyscale_minus_rgb,rgb,greyscale,32459,294,0.7539665424073446,0.7414965986394558,-0.012469943767888791,0.7449520758672531,0.6436631016478775,-0.10128897421937555,0.8064836198504493,0.724876978263563,-0.08160664158688624
I2,2026,product_family_size,multirow_minus_singleton,singleton,multirow,19023,13730,0.743521000893655,0.7681718863801894,0.02465088548653438,0.7429659669626345,0.7318457947977355,-0.011120172164899023,0.8016142264256836,0.811482754482115,0.009868528056431458
I2,2753,acquisition_year,other_minus_dominant_2011_2012,dominant_2011_2012,other_years,22896,9857,0.7747641509433962,0.7339961448716648,-0.04076800607173148,0.5913339512326252,0.6824377677870407,0.09110381655441546,0.8027017404612318,0.8196864641860446,0.016984723724812856
I2,2753,article_type_shortcut,conflict_minus_aligned,aligned,conflict,21115,11619,0.8831162680558844,0.5439366554780962,-0.33917961257778817,0.8690131829249004,0.43021100203044355,-0.43880218089445683,0.8426210762227623,0.7445263798896146,-0.09809469633314771
I2,2753,file_size_quartile,q4_largest_minus_q1_smallest,q1_smallest,q4_largest,8187,8193,0.7680469036277024,0.7896985231295008,0.02165161950179839,0.6820548525524748,0.720897167203288,0.038842314650813226,0.8245767702422359,0.8168380859860509,-0.007738684256184958
I2,2753,image_mode,greyscale_minus_rgb,rgb,greyscale,32459,294,0.762685233679411,0.7414965986394558,-0.02118863503995516,0.7532746819343211,0.5672976011994003,-0.1859770807349208,0.8083651057039694,0.7468896633913727,-0.061475442312596607
I2,2753,product_family_size,multirow_minus_singleton,singleton,multirow,19023,13730,0.7527203911055038,0.7760378732702112,0.023317482164707415,0.7509217739566724,0.741506868588795,-0.009414905367877369,0.8032366524956263,0.8141542379211876,0.010917585425561316
