fold,slice_family,slice_name,support
-1,acquisition_year,dominant_2011_2012,22896
0,acquisition_year,dominant_2011_2012,4570
1,acquisition_year,dominant_2011_2012,4573
2,acquisition_year,dominant_2011_2012,4557
3,acquisition_year,dominant_2011_2012,4613
4,acquisition_year,dominant_2011_2012,4583
-1,acquisition_year,other_years,9857
0,acquisition_year,other_years,1980
1,acquisition_year,other_years,1978
2,acquisition_year,other_years,1993
3,acquisition_year,other_years,1937
4,acquisition_year,other_years,1969
-1,article_type_shortcut,aligned,21115
0,article_type_shortcut,aligned,4174
1,article_type_shortcut,aligned,4190
2,article_type_shortcut,aligned,4235
3,article_type_shortcut,aligned,4244
4,article_type_shortcut,aligned,4272
-1,article_type_shortcut,conflict,11619
0,article_type_shortcut,conflict,2375
1,article_type_shortcut,conflict,2357
2,article_type_shortcut,conflict,2310
3,article_type_shortcut,conflict,2301
4,article_type_shortcut,conflict,2276
-1,article_type_shortcut,unseen_article_type,19
0,article_type_shortcut,unseen_article_type,1
1,article_type_shortcut,unseen_article_type,4
2,article_type_shortcut,unseen_article_type,5
3,article_type_shortcut,unseen_article_type,5
4,article_type_shortcut,unseen_article_type,4
-1,file_size_quartile,q1_smallest,8187
0,file_size_quartile,q1_smallest,1607
1,file_size_quartile,q1_smallest,1600
2,file_size_quartile,q1_smallest,1665
3,file_size_quartile,q1_smallest,1658
4,file_size_quartile,q1_smallest,1657
-1,file_size_quartile,q2,8192
0,file_size_quartile,q2,1672
1,file_size_quartile,q2,1628
2,file_size_quartile,q2,1650
3,file_size_quartile,q2,1611
4,file_size_quartile,q2,1631
-1,file_size_quartile,q3,8181
0,file_size_quartile,q3,1601
1,file_size_quartile,q3,1757
2,file_size_quartile,q3,1591
3,file_size_quartile,q3,1596
4,file_size_quartile,q3,1636
-1,file_size_quartile,q4_largest,8193
0,file_size_quartile,q4_largest,1670
1,file_size_quartile,q4_largest,1566
2,file_size_quartile,q4_largest,1644
3,file_size_quartile,q4_largest,1685
4,file_size_quartile,q4_largest,1628
-1,image_mode,greyscale,294
0,image_mode,greyscale,67
1,image_mode,greyscale,44
2,image_mode,greyscale,69
3,image_mode,greyscale,61
4,image_mode,greyscale,53
-1,image_mode,rgb,32459
0,image_mode,rgb,6483
1,image_mode,rgb,6507
2,image_mode,rgb,6481
3,image_mode,rgb,6489
4,image_mode,rgb,6499
-1,product_family_size,multirow,13730
0,product_family_size,multirow,2760
1,product_family_size,multirow,2742
2,product_family_size,multirow,2738
3,product_family_size,multirow,2728
4,product_family_size,multirow,2762
-1,product_family_size,singleton,19023
0,product_family_size,singleton,3790
1,product_family_size,singleton,3809
2,product_family_size,singleton,3812
3,product_family_size,singleton,3822
4,product_family_size,singleton,3790
