scope,fold,size,query_source,gallery_source,slice,query_variant,query_id,metric,value,rank,candidate_id,distance
development,1,240x320,v1,v1,normal_success,clean,7076,ndcg_at_10,1.00000000,1,29192,0.03498292
development,1,240x320,v1,v1,normal_success,clean,7076,ndcg_at_10,1.00000000,2,22971,0.04648989
development,1,240x320,v1,v1,normal_success,clean,7076,ndcg_at_10,1.00000000,3,18007,0.04761350
development,1,240x320,v1,v1,normal_success,clean,7076,ndcg_at_10,1.00000000,4,18008,0.04833591
development,1,240x320,v1,v1,normal_success,clean,7076,ndcg_at_10,1.00000000,5,22969,0.05304444
development,1,240x320,v1,v1,grayscale,clean,19545,ndcg_at_10,0.00000000,1,41904,0.08155084
development,1,240x320,v1,v1,grayscale,clean,19545,ndcg_at_10,0.00000000,2,11143,0.08646321
development,1,240x320,v1,v1,grayscale,clean,19545,ndcg_at_10,0.00000000,3,11144,0.08646321
development,1,240x320,v1,v1,grayscale,clean,19545,ndcg_at_10,0.00000000,4,9009,0.08964419
development,1,240x320,v1,v1,grayscale,clean,19545,ndcg_at_10,0.00000000,5,7675,0.09405446
development,1,240x320,v1,v1,unusual_geometry,clean,25299,ndcg_at_10,0.00000000,1,4302,0.05675590
development,1,240x320,v1,v1,unusual_geometry,clean,25299,ndcg_at_10,0.00000000,2,35882,0.05820322
development,1,240x320,v1,v1,unusual_geometry,clean,25299,ndcg_at_10,0.00000000,3,34108,0.06149781
development,1,240x320,v1,v1,unusual_geometry,clean,25299,ndcg_at_10,0.00000000,4,35446,0.06149781
development,1,240x320,v1,v1,unusual_geometry,clean,25299,ndcg_at_10,0.00000000,5,36718,0.06184208
development,1,240x320,v1,v1,canvas_failure,tall,3110,ndcg_change_from_clean,-1.00000000,1,47365,0.10618091
development,1,240x320,v1,v1,canvas_failure,tall,3110,ndcg_change_from_clean,-1.00000000,2,18445,0.11809671
development,1,240x320,v1,v1,canvas_failure,tall,3110,ndcg_change_from_clean,-1.00000000,3,24737,0.11845934
development,1,240x320,v1,v1,canvas_failure,tall,3110,ndcg_change_from_clean,-1.00000000,4,18447,0.11977959
development,1,240x320,v1,v1,canvas_failure,tall,3110,ndcg_change_from_clean,-1.00000000,5,44278,0.11983609
development,1,240x320,v1,v1,weak_family,clean,1623,recall_at_10,0.00000000,1,1656,0.12762022
development,1,240x320,v1,v1,weak_family,clean,1623,recall_at_10,0.00000000,2,20558,0.14175105
development,1,240x320,v1,v1,weak_family,clean,1623,recall_at_10,0.00000000,3,12440,0.14463913
development,1,240x320,v1,v1,weak_family,clean,1623,recall_at_10,0.00000000,4,30160,0.15031934
development,1,240x320,v1,v1,weak_family,clean,1623,recall_at_10,0.00000000,5,2664,0.15269941
development,1,240x320,v1,v1,rare_article_type,clean,3473,ndcg_at_10,0.00000000,1,13249,0.05943573
development,1,240x320,v1,v1,rare_article_type,clean,3473,ndcg_at_10,0.00000000,2,45774,0.06329501
development,1,240x320,v1,v1,rare_article_type,clean,3473,ndcg_at_10,0.00000000,3,18461,0.06512666
development,1,240x320,v1,v1,rare_article_type,clean,3473,ndcg_at_10,0.00000000,4,13247,0.06535161
development,1,240x320,v1,v1,rare_article_type,clean,3473,ndcg_at_10,0.00000000,5,7487,0.06842351
development,1,240x320,v1,v1,rare_type_colour,clean,1580,ndcg_at_10,0.00000000,1,27188,0.09032106
development,1,240x320,v1,v1,rare_type_colour,clean,1580,ndcg_at_10,0.00000000,2,22225,0.09048122
development,1,240x320,v1,v1,rare_type_colour,clean,1580,ndcg_at_10,0.00000000,3,12930,0.09099400
development,1,240x320,v1,v1,rare_type_colour,clean,1580,ndcg_at_10,0.00000000,4,17266,0.09327674
development,1,240x320,v1,v1,rare_type_colour,clean,1580,ndcg_at_10,0.00000000,5,15001,0.09498203
development,1,240x320,v1,v1,family_unavailable,clean,1529,recall_at_10,,1,1537,0.05558586
development,1,240x320,v1,v1,family_unavailable,clean,1529,recall_at_10,,2,1807,0.08254313
development,1,240x320,v1,v1,family_unavailable,clean,1529,recall_at_10,,3,2092,0.11099648
development,1,240x320,v1,v1,family_unavailable,clean,1529,recall_at_10,,4,1811,0.11976355
development,1,240x320,v1,v1,family_unavailable,clean,1529,recall_at_10,,5,31267,0.12419963
