scope,fold,size,query_source,gallery_source,protocol,slice,metric,k,aggregation,value,total_queries,scored_queries,excluded_queries,coverage
development,1,240x320,teacher,teacher,family,family_unavailable,recall,10,query_mean,,3937,0,3937,0.00000000
development,1,240x320,teacher,teacher,family,weak_family,recall,10,query_mean,0.42349809,1659,1659,0,1.00000000
development,1,240x320,teacher,teacher,primary,grayscale,ndcg,10,query_mean,0.54861509,44,44,0,1.00000000
development,1,240x320,teacher,teacher,primary,rare_article_type,ndcg,10,query_mean,0.26679655,40,40,0,1.00000000
development,1,240x320,teacher,teacher,primary,rare_type_colour,ndcg,10,query_mean,0.35966740,833,829,4,0.99519808
development,1,240x320,teacher,teacher,primary,unusual_geometry,ndcg,10,query_mean,0.41581800,2,2,0,1.00000000
development,1,240x320,teacher,v1,family,family_unavailable,recall,10,query_mean,,3937,0,3937,0.00000000
development,1,240x320,teacher,v1,family,weak_family,recall,10,query_mean,0.37120755,1659,1659,0,1.00000000
development,1,240x320,teacher,v1,primary,grayscale,ndcg,10,query_mean,0.52264876,44,44,0,1.00000000
development,1,240x320,teacher,v1,primary,rare_article_type,ndcg,10,query_mean,0.22777986,40,40,0,1.00000000
development,1,240x320,teacher,v1,primary,rare_type_colour,ndcg,10,query_mean,0.33570162,833,829,4,0.99519808
development,1,240x320,teacher,v1,primary,unusual_geometry,ndcg,10,query_mean,0.46135642,2,2,0,1.00000000
development,1,240x320,v1,teacher,family,family_unavailable,recall,10,query_mean,,3937,0,3937,0.00000000
development,1,240x320,v1,teacher,family,weak_family,recall,10,query_mean,0.35824794,1659,1659,0,1.00000000
development,1,240x320,v1,teacher,primary,grayscale,ndcg,10,query_mean,0.55451798,44,44,0,1.00000000
development,1,240x320,v1,teacher,primary,rare_article_type,ndcg,10,query_mean,0.23390584,40,40,0,1.00000000
development,1,240x320,v1,teacher,primary,rare_type_colour,ndcg,10,query_mean,0.32267067,833,829,4,0.99519808
development,1,240x320,v1,teacher,primary,unusual_geometry,ndcg,10,query_mean,0.38897567,2,2,0,1.00000000
development,1,240x320,v1,v1,family,family_unavailable,recall,10,query_mean,,3937,0,3937,0.00000000
development,1,240x320,v1,v1,family,weak_family,recall,10,query_mean,0.41711875,1659,1659,0,1.00000000
development,1,240x320,v1,v1,primary,grayscale,ndcg,10,query_mean,0.54633194,44,44,0,1.00000000
development,1,240x320,v1,v1,primary,rare_article_type,ndcg,10,query_mean,0.26236483,40,40,0,1.00000000
development,1,240x320,v1,v1,primary,rare_type_colour,ndcg,10,query_mean,0.35582408,833,829,4,0.99519808
development,1,240x320,v1,v1,primary,unusual_geometry,ndcg,10,query_mean,0.46528439,2,2,0,1.00000000
development,1,240x320,v1,v1,primary,canvas_clean,ndcg,10,query_mean,0.48454193,6556,6552,4,0.99938987
development,1,240x320,v1,v1,primary,canvas_wide,ndcg,10,query_mean,0.10979303,6556,6552,4,0.99938987
development,1,240x320,v1,v1,primary,canvas_tall,ndcg,10,query_mean,0.17259584,6556,6552,4,0.99938987
