method,fold,size,query_source,gallery_source,protocol,scope,query_id,articleType,ndcg_at_5,precision_any_at_5,precision_strict_at_5,tie_rate_at_5,ndcg_at_10,precision_any_at_10,precision_strict_at_10,tie_rate_at_10,ndcg_at_20,precision_any_at_20,precision_strict_at_20,tie_rate_at_20,recall_at_10,hit_rate_at_10,precision_at_10
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,1529,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,1537,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,1546,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,1547,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,1552,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,1562,,,,,,,,,0.20000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,1572,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,1575,,,,,,,,,0.20000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,1580,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,1590,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,1591,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,1605,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,1615,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,1619,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,1620,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,1622,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,1623,,,,,,,,,0.00000000,,,,,0.00000000,0.00000000,0.00000000
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,1649,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,1656,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,1662,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,1697,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,1731,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,1764,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,1782,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,1783,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,1790,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,1804,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,1805,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,1807,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,1809,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,1811,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,1812,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,1827,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,1841,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,1855,,,,,,,,,0.20000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,1857,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,1868,,,,,,,,,0.20000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,1872,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,1890,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,1903,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,1910,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,1911,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,1915,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,1922,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,1927,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,1933,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,1936,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,1994,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,2002,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,2009,,,,,,,,,0.40000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,2033,,,,,,,,,0.20000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,2092,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,2104,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,2118,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,2119,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,2122,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,2127,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,2132,,,,,,,,,0.00000000,,,,,0.00000000,0.00000000,0.00000000
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,2138,,,,,,,,,0.40000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,2142,,,,,,,,,0.20000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,2143,,,,,,,,,0.00000000,,,,,0.00000000,0.00000000,0.00000000
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,2146,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,2149,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,2153,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,2160,,,,,,,,,0.00000000,,,,,0.00000000,0.00000000,0.00000000
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,2187,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,2199,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,2205,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,2211,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,2212,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,2215,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,2218,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,2222,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,2223,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,2230,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,2231,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,2232,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,2240,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,2250,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,2263,,,,,,,,,0.00000000,,,,,0.00000000,0.00000000,0.00000000
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,2267,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,2280,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,2283,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,2305,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,2314,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,2316,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,2320,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,2321,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,2340,,,,,,,,,0.20000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,2342,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,2347,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,2353,,,,,,,,,0.00000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,2359,,,,,,,,,0.50000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,2360,,,,,,,,,0.20000000,,,,,,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,2378,,,,,,,,,0.00000000,,,,,0.00000000,0.00000000,0.00000000
