method,fold,size,query_source,gallery_source,protocol,scope,width,height,query_transform_seconds,gallery_transform_seconds,query_source_bytes,gallery_source_bytes,feature_bytes_per_image,uint8_tensor_bytes_per_image,float32_tensor_bytes_per_image,metric,k,aggregation,value,query_count,class_count,passed
headline,1,240x320,all,all,primary,development,,,,,,,,,,beats_random,10,query_mean,0.42752202,,,True
headline,1,240x320,all,all,primary,development,,,,,,,,,,cross_source_mean,10,query_mean,0.46171089,,,
headline,1,240x320,all,all,primary,development,,,,,,,,,,cross_source_within_95_percent,10,query_mean,0.94250242,,,False
headline,1,240x320,all,all,primary,development,,,,,,,,,,same_source_mean,10,query_mean,0.48987767,,,
random-seed-2753,1,240x320,random,random,primary,development,,,,,,,,,,ndcg,5,article_type_macro,0.00514746,6552,104,
random-seed-2753,1,240x320,random,random,primary,development,,,,,,,,,,ndcg,5,query_mean,0.08222198,6552,104,
random-seed-2753,1,240x320,random,random,primary,development,,,,,,,,,,ndcg,10,article_type_macro,0.00540863,6552,104,
random-seed-2753,1,240x320,random,random,primary,development,,,,,,,,,,ndcg,10,query_mean,0.06235565,6552,104,
random-seed-2753,1,240x320,random,random,primary,development,,,,,,,,,,ndcg,20,article_type_macro,0.00579252,6552,104,
random-seed-2753,1,240x320,random,random,primary,development,,,,,,,,,,ndcg,20,query_mean,0.05108723,6552,104,
random-seed-2753,1,240x320,random,random,primary,development,,,,,,,,,,precision_any,5,article_type_macro,0.00961538,6552,104,
random-seed-2753,1,240x320,random,random,primary,development,,,,,,,,,,precision_any,5,query_mean,0.14542125,6552,104,
random-seed-2753,1,240x320,random,random,primary,development,,,,,,,,,,precision_any,10,article_type_macro,0.00961538,6552,104,
random-seed-2753,1,240x320,random,random,primary,development,,,,,,,,,,precision_any,10,query_mean,0.09323871,6552,104,
random-seed-2753,1,240x320,random,random,primary,development,,,,,,,,,,precision_any,20,article_type_macro,0.00961538,6552,104,
random-seed-2753,1,240x320,random,random,primary,development,,,,,,,,,,precision_any,20,query_mean,0.07142094,6552,104,
random-seed-2753,1,240x320,random,random,primary,development,,,,,,,,,,precision_strict,5,article_type_macro,0.00078575,6552,104,
random-seed-2753,1,240x320,random,random,primary,development,,,,,,,,,,precision_strict,5,query_mean,0.01278999,6552,104,
random-seed-2753,1,240x320,random,random,primary,development,,,,,,,,,,precision_strict,10,article_type_macro,0.00119180,6552,104,
random-seed-2753,1,240x320,random,random,primary,development,,,,,,,,,,precision_strict,10,query_mean,0.01111111,6552,104,
random-seed-2753,1,240x320,random,random,primary,development,,,,,,,,,,precision_strict,20,article_type_macro,0.00189434,6552,104,
random-seed-2753,1,240x320,random,random,primary,development,,,,,,,,,,precision_strict,20,query_mean,0.01036325,6552,104,
random-seed-2753,1,240x320,random,random,primary,development,,,,,,,,,,tie_rate,5,article_type_macro,0.00000000,6556,108,
random-seed-2753,1,240x320,random,random,primary,development,,,,,,,,,,tie_rate,5,query_mean,0.00000000,6556,108,
random-seed-2753,1,240x320,random,random,primary,development,,,,,,,,,,tie_rate,10,article_type_macro,0.00000000,6556,108,
random-seed-2753,1,240x320,random,random,primary,development,,,,,,,,,,tie_rate,10,query_mean,0.00000000,6556,108,
random-seed-2753,1,240x320,random,random,primary,development,,,,,,,,,,tie_rate,20,article_type_macro,0.00000000,6556,108,
random-seed-2753,1,240x320,random,random,primary,development,,,,,,,,,,tie_rate,20,query_mean,0.00000000,6556,108,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,240.00000000,320.00000000,767.25958317,767.25958317,409687427.00000000,409687427.00000000,1600.00000000,230400.00000000,921600.00000000,coverage,10,query_mean,0.39948139,6556,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,240.00000000,320.00000000,767.25958317,767.25958317,409687427.00000000,409687427.00000000,1600.00000000,230400.00000000,921600.00000000,hit_rate,10,query_mean,0.65253914,2619,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,240.00000000,320.00000000,767.25958317,767.25958317,409687427.00000000,409687427.00000000,1600.00000000,230400.00000000,921600.00000000,precision,10,query_mean,0.15826651,2619,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,240.00000000,320.00000000,767.25958317,767.25958317,409687427.00000000,409687427.00000000,1600.00000000,230400.00000000,921600.00000000,recall,10,query_mean,0.37385510,2619,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,family,development,240.00000000,320.00000000,767.25958317,767.25958317,409687427.00000000,409687427.00000000,1600.00000000,230400.00000000,921600.00000000,tie_rate,10,query_mean,0.03904820,6556,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,primary,development,240.00000000,320.00000000,767.25958317,767.25958317,409687427.00000000,409687427.00000000,1600.00000000,230400.00000000,921600.00000000,ndcg,5,article_type_macro,0.37738598,6552,104,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,primary,development,240.00000000,320.00000000,767.25958317,767.25958317,409687427.00000000,409687427.00000000,1600.00000000,230400.00000000,921600.00000000,ndcg,5,query_mean,0.51159328,6552,104,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,primary,development,240.00000000,320.00000000,767.25958317,767.25958317,409687427.00000000,409687427.00000000,1600.00000000,230400.00000000,921600.00000000,ndcg,10,article_type_macro,0.35665440,6552,104,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,primary,development,240.00000000,320.00000000,767.25958317,767.25958317,409687427.00000000,409687427.00000000,1600.00000000,230400.00000000,921600.00000000,ndcg,10,query_mean,0.49521342,6552,104,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,primary,development,240.00000000,320.00000000,767.25958317,767.25958317,409687427.00000000,409687427.00000000,1600.00000000,230400.00000000,921600.00000000,ndcg,20,article_type_macro,0.34217376,6552,104,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,primary,development,240.00000000,320.00000000,767.25958317,767.25958317,409687427.00000000,409687427.00000000,1600.00000000,230400.00000000,921600.00000000,ndcg,20,query_mean,0.47841616,6552,104,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,primary,development,240.00000000,320.00000000,767.25958317,767.25958317,409687427.00000000,409687427.00000000,1600.00000000,230400.00000000,921600.00000000,precision_any,5,article_type_macro,0.45648740,6552,104,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,primary,development,240.00000000,320.00000000,767.25958317,767.25958317,409687427.00000000,409687427.00000000,1600.00000000,230400.00000000,921600.00000000,precision_any,5,query_mean,0.70360195,6552,104,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,primary,development,240.00000000,320.00000000,767.25958317,767.25958317,409687427.00000000,409687427.00000000,1600.00000000,230400.00000000,921600.00000000,precision_any,10,article_type_macro,0.39448662,6552,104,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,primary,development,240.00000000,320.00000000,767.25958317,767.25958317,409687427.00000000,409687427.00000000,1600.00000000,230400.00000000,921600.00000000,precision_any,10,query_mean,0.67622100,6552,104,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,primary,development,240.00000000,320.00000000,767.25958317,767.25958317,409687427.00000000,409687427.00000000,1600.00000000,230400.00000000,921600.00000000,precision_any,20,article_type_macro,0.33691933,6552,104,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,primary,development,240.00000000,320.00000000,767.25958317,767.25958317,409687427.00000000,409687427.00000000,1600.00000000,230400.00000000,921600.00000000,precision_any,20,query_mean,0.64635989,6552,104,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,primary,development,240.00000000,320.00000000,767.25958317,767.25958317,409687427.00000000,409687427.00000000,1600.00000000,230400.00000000,921600.00000000,precision_strict,5,article_type_macro,0.12936593,6552,104,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,primary,development,240.00000000,320.00000000,767.25958317,767.25958317,409687427.00000000,409687427.00000000,1600.00000000,230400.00000000,921600.00000000,precision_strict,5,query_mean,0.28348596,6552,104,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,primary,development,240.00000000,320.00000000,767.25958317,767.25958317,409687427.00000000,409687427.00000000,1600.00000000,230400.00000000,921600.00000000,precision_strict,10,article_type_macro,0.11355401,6552,104,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,primary,development,240.00000000,320.00000000,767.25958317,767.25958317,409687427.00000000,409687427.00000000,1600.00000000,230400.00000000,921600.00000000,precision_strict,10,query_mean,0.26268315,6552,104,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,primary,development,240.00000000,320.00000000,767.25958317,767.25958317,409687427.00000000,409687427.00000000,1600.00000000,230400.00000000,921600.00000000,precision_strict,20,article_type_macro,0.09521119,6552,104,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,primary,development,240.00000000,320.00000000,767.25958317,767.25958317,409687427.00000000,409687427.00000000,1600.00000000,230400.00000000,921600.00000000,precision_strict,20,query_mean,0.23893468,6552,104,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,primary,development,240.00000000,320.00000000,767.25958317,767.25958317,409687427.00000000,409687427.00000000,1600.00000000,230400.00000000,921600.00000000,tie_rate,5,article_type_macro,0.02181386,6556,108,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,primary,development,240.00000000,320.00000000,767.25958317,767.25958317,409687427.00000000,409687427.00000000,1600.00000000,230400.00000000,921600.00000000,tie_rate,5,query_mean,0.03017084,6556,108,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,primary,development,240.00000000,320.00000000,767.25958317,767.25958317,409687427.00000000,409687427.00000000,1600.00000000,230400.00000000,921600.00000000,tie_rate,10,article_type_macro,0.02691891,6556,108,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,primary,development,240.00000000,320.00000000,767.25958317,767.25958317,409687427.00000000,409687427.00000000,1600.00000000,230400.00000000,921600.00000000,tie_rate,10,query_mean,0.03241306,6556,108,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,primary,development,240.00000000,320.00000000,767.25958317,767.25958317,409687427.00000000,409687427.00000000,1600.00000000,230400.00000000,921600.00000000,tie_rate,20,article_type_macro,0.03074099,6556,108,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,teacher,primary,development,240.00000000,320.00000000,767.25958317,767.25958317,409687427.00000000,409687427.00000000,1600.00000000,230400.00000000,921600.00000000,tie_rate,20,query_mean,0.03387736,6556,108,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,v1,family,development,240.00000000,320.00000000,767.25958317,774.74986615,409687427.00000000,11525856401.00000000,1600.00000000,230400.00000000,921600.00000000,coverage,10,query_mean,0.39948139,6556,,
spatial-hsv-edge-4x4-v2,1,240x320,teacher,v1,family,development,240.00000000,320.00000000,767.25958317,774.74986615,409687427.00000000,11525856401.00000000,1600.00000000,230400.00000000,921600.00000000,hit_rate,10,query_mean,0.59488354,2619,,
