query_id,query_source,gallery_source,encoding_seconds,search_seconds,end_to_end_seconds
1529,teacher,teacher,0.01731495,0.06658295,0.08389790
1537,teacher,teacher,0.01769375,0.06633900,0.08403276
1546,teacher,teacher,0.01684788,0.06654730,0.08339518
1547,teacher,teacher,0.01684361,0.06645864,0.08330226
1552,teacher,teacher,0.01724417,0.06640881,0.08365298
1562,teacher,teacher,0.01709874,0.06660067,0.08369941
1572,teacher,teacher,0.01703040,0.06641492,0.08344532
1575,teacher,teacher,0.01729581,0.06646392,0.08375973
1580,teacher,teacher,0.01716038,0.06640814,0.08356852
1590,teacher,teacher,0.01688474,0.06644645,0.08333118
1591,teacher,teacher,0.01727398,0.06698401,0.08425799
1605,teacher,teacher,0.01715548,0.06699202,0.08414750
1615,teacher,teacher,0.01714085,0.06698868,0.08412953
1619,teacher,teacher,0.01758566,0.06705454,0.08464020
1620,teacher,teacher,0.01713155,0.06703305,0.08416460
1622,teacher,teacher,0.01737221,0.06694723,0.08431944
1623,teacher,teacher,0.01692901,0.06698435,0.08391336
1649,teacher,teacher,0.01663799,0.06707766,0.08371566
1656,teacher,teacher,0.01692404,0.06702185,0.08394588
1662,teacher,teacher,0.01722393,0.06651199,0.08373591
1697,teacher,teacher,0.01701809,0.06662164,0.08363973
1731,teacher,teacher,0.01681092,0.06683429,0.08364521
1764,teacher,teacher,0.01734021,0.06684987,0.08419008
1782,teacher,teacher,0.01696330,0.06692243,0.08388574
1783,teacher,teacher,0.01704265,0.06732368,0.08436632
1790,teacher,teacher,0.01752974,0.06683282,0.08436256
1804,teacher,teacher,0.01757154,0.06700897,0.08458051
1805,teacher,teacher,0.01695186,0.06708763,0.08403950
1807,teacher,teacher,0.01744004,0.06691598,0.08435602
1809,teacher,teacher,0.01722142,0.06690397,0.08412540
1811,teacher,teacher,0.01725094,0.06690999,0.08416094
1812,teacher,teacher,0.01712310,0.06678466,0.08390776
1827,teacher,teacher,0.01668549,0.06723852,0.08392401
1841,teacher,teacher,0.01679007,0.06700917,0.08379924
1855,teacher,teacher,0.01711416,0.06700291,0.08411707
1857,teacher,teacher,0.01713498,0.06696571,0.08410069
1868,teacher,teacher,0.01704881,0.06716380,0.08421260
1872,teacher,teacher,0.01723650,0.06708247,0.08431898
1890,teacher,teacher,0.01742497,0.06696888,0.08439385
1903,teacher,teacher,0.01731503,0.06743535,0.08475038
1910,teacher,teacher,0.01696186,0.06773976,0.08470162
1911,teacher,teacher,0.01711751,0.06742706,0.08454457
1915,teacher,teacher,0.01692381,0.06736297,0.08428679
1922,teacher,teacher,0.01720612,0.06767637,0.08488249
1927,teacher,teacher,0.01700665,0.06702419,0.08403084
1933,teacher,teacher,0.01744659,0.06676718,0.08421377
1936,teacher,teacher,0.01762151,0.06726387,0.08488538
1994,teacher,teacher,0.01733676,0.06689064,0.08422739
2002,teacher,teacher,0.01729380,0.06705929,0.08435309
2009,teacher,teacher,0.01735193,0.06712806,0.08447999
2033,teacher,teacher,0.01720938,0.06617918,0.08338856
2092,teacher,teacher,0.01729696,0.06645945,0.08375640
2104,teacher,teacher,0.01760056,0.06662012,0.08422068
2118,teacher,teacher,0.01740236,0.06650964,0.08391200
2119,teacher,teacher,0.01751521,0.06615830,0.08367351
2122,teacher,teacher,0.01756226,0.06633537,0.08389763
2127,teacher,teacher,0.01709534,0.06666632,0.08376166
2132,teacher,teacher,0.01731666,0.06655089,0.08386755
2138,teacher,teacher,0.01733765,0.06636369,0.08370134
2142,teacher,teacher,0.01728494,0.06639365,0.08367859
2143,teacher,teacher,0.01739929,0.06663388,0.08403318
2146,teacher,teacher,0.01717484,0.06650007,0.08367491
2149,teacher,teacher,0.01734740,0.06678910,0.08413650
2153,teacher,teacher,0.01728050,0.06694785,0.08422835
2160,teacher,teacher,0.01748898,0.06682054,0.08430952
2187,teacher,teacher,0.01720185,0.06693160,0.08413345
2199,teacher,teacher,0.01668453,0.06718950,0.08387403
2205,teacher,teacher,0.01737705,0.06698754,0.08436459
2211,teacher,teacher,0.01680799,0.06722099,0.08402899
2212,teacher,teacher,0.01745564,0.06650309,0.08395873
