external_width,external_height,external_mode,external_format,count,percentage
1800,2400,RGB,JPEG,16684,50.9078
1080,1440,RGB,JPEG,15870,48.4240
150,200,RGB,JPEG,109,0.3326
360,480,RGB,JPEG,51,0.1556
540,720,RGB,JPEG,20,0.0610
1200,1600,RGB,JPEG,5,0.0153
2250,3000,RGB,JPEG,4,0.0122
2700,2700,RGB,JPEG,3,0.0092
1800,2401,RGB,JPEG,2,0.0061
2759,3678,RGB,JPEG,2,0.0061
3744,5616,RGB,JPEG,2,0.0061
2425,3233,RGB,JPEG,2,0.0061
1800,2297,RGB,JPEG,2,0.0061
683,1024,RGB,JPEG,1,0.0031
1800,2399,RGB,JPEG,1,0.0031
1799,2400,RGB,JPEG,1,0.0031
1350,1800,RGB,JPEG,1,0.0031
1080,1620,RGB,JPEG,1,0.0031
800,800,RGB,JPEG,1,0.0031
480,640,RGB,JPEG,1,0.0031
514,644,RGB,JPEG,1,0.0031
2355,3140,RGB,JPEG,1,0.0031
2448,3264,RGB,JPEG,1,0.0031
2444,3259,RGB,JPEG,1,0.0031
2411,3214,RGB,JPEG,1,0.0031
2510,3347,RGB,JPEG,1,0.0031
2652,3536,RGB,JPEG,1,0.0031
2592,3888,RGB,JPEG,1,0.0031
2711,3615,RGB,JPEG,1,0.0031
2804,3739,RGB,JPEG,1,0.0031
