scope,fold,method,descriptor_fingerprint,size,query_source,gallery_source,query_variant,query_id,clean_ndcg_at_10,canvas_ndcg_at_10,ndcg_change_from_clean,top10_overlap
development,1,hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240x320,v1,v1,clean,1529,0.57817709,0.57817709,0.00000000,1.00000000
development,1,hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240x320,v1,v1,wide,1529,0.57817709,0.00000000,-0.57817709,0.00000000
development,1,hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240x320,v1,v1,tall,1529,0.57817709,0.31603937,-0.26213772,0.00000000
development,1,hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240x320,v1,v1,clean,1537,0.64868474,0.64868474,0.00000000,1.00000000
development,1,hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240x320,v1,v1,wide,1537,0.64868474,0.00000000,-0.64868474,0.00000000
development,1,hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240x320,v1,v1,tall,1537,0.64868474,0.00000000,-0.64868474,0.00000000
development,1,hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240x320,v1,v1,clean,1546,0.20986859,0.20986859,0.00000000,1.00000000
development,1,hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240x320,v1,v1,wide,1546,0.20986859,0.00000000,-0.20986859,0.00000000
development,1,hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240x320,v1,v1,tall,1546,0.20986859,0.00000000,-0.20986859,0.00000000
development,1,hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240x320,v1,v1,clean,1547,0.19093558,0.19093558,0.00000000,1.00000000
development,1,hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240x320,v1,v1,wide,1547,0.19093558,0.00000000,-0.19093558,0.00000000
development,1,hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240x320,v1,v1,tall,1547,0.19093558,0.00000000,-0.19093558,0.00000000
development,1,hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240x320,v1,v1,clean,1552,0.44530150,0.44530150,0.00000000,1.00000000
development,1,hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240x320,v1,v1,wide,1552,0.44530150,0.00000000,-0.44530150,0.00000000
development,1,hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240x320,v1,v1,tall,1552,0.44530150,0.00000000,-0.44530150,0.00000000
development,1,hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240x320,v1,v1,clean,1562,0.55502294,0.55502294,0.00000000,1.00000000
development,1,hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240x320,v1,v1,wide,1562,0.55502294,0.00000000,-0.55502294,0.00000000
development,1,hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240x320,v1,v1,tall,1562,0.55502294,0.00000000,-0.55502294,0.00000000
development,1,hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240x320,v1,v1,clean,1572,0.74220824,0.74220824,0.00000000,1.00000000
development,1,hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240x320,v1,v1,wide,1572,0.74220824,0.00000000,-0.74220824,0.00000000
development,1,hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240x320,v1,v1,tall,1572,0.74220824,0.00000000,-0.74220824,0.00000000
development,1,hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240x320,v1,v1,clean,1575,0.50000000,0.50000000,0.00000000,1.00000000
development,1,hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240x320,v1,v1,wide,1575,0.50000000,0.00000000,-0.50000000,0.00000000
development,1,hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240x320,v1,v1,tall,1575,0.50000000,0.00000000,-0.50000000,0.00000000
development,1,hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240x320,v1,v1,clean,1580,0.00000000,0.00000000,0.00000000,1.00000000
development,1,hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240x320,v1,v1,wide,1580,0.00000000,0.00000000,0.00000000,0.00000000
development,1,hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240x320,v1,v1,tall,1580,0.00000000,0.00000000,0.00000000,0.00000000
development,1,hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240x320,v1,v1,clean,1590,0.46181025,0.46181025,0.00000000,1.00000000
development,1,hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240x320,v1,v1,wide,1590,0.46181025,0.00000000,-0.46181025,0.00000000
development,1,hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240x320,v1,v1,tall,1590,0.46181025,0.00000000,-0.46181025,0.00000000
development,1,hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240x320,v1,v1,clean,1591,0.50000000,0.50000000,0.00000000,1.00000000
development,1,hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240x320,v1,v1,wide,1591,0.50000000,0.29943755,-0.20056245,0.00000000
development,1,hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240x320,v1,v1,tall,1591,0.50000000,0.00000000,-0.50000000,0.00000000
development,1,hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240x320,v1,v1,clean,1605,0.59524011,0.59524011,0.00000000,1.00000000
development,1,hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240x320,v1,v1,wide,1605,0.59524011,0.00000000,-0.59524011,0.00000000
development,1,hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240x320,v1,v1,tall,1605,0.59524011,0.00000000,-0.59524011,0.00000000
development,1,hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240x320,v1,v1,clean,1615,0.50000000,0.50000000,0.00000000,1.00000000
development,1,hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240x320,v1,v1,wide,1615,0.50000000,0.00000000,-0.50000000,0.00000000
development,1,hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240x320,v1,v1,tall,1615,0.50000000,0.00000000,-0.50000000,0.00000000
development,1,hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240x320,v1,v1,clean,1619,0.33798414,0.33798414,0.00000000,1.00000000
development,1,hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240x320,v1,v1,wide,1619,0.33798414,0.22687129,-0.11111286,0.00000000
development,1,hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240x320,v1,v1,tall,1619,0.33798414,0.11004588,-0.22793826,0.00000000
development,1,hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240x320,v1,v1,clean,1620,0.35958420,0.35958420,0.00000000,1.00000000
development,1,hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240x320,v1,v1,wide,1620,0.35958420,0.35314378,-0.00644042,0.00000000
development,1,hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240x320,v1,v1,tall,1620,0.35958420,0.13886244,-0.22072175,0.00000000
development,1,hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240x320,v1,v1,clean,1622,0.00000000,0.00000000,0.00000000,1.00000000
development,1,hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240x320,v1,v1,wide,1622,0.00000000,0.00000000,0.00000000,0.00000000
development,1,hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240x320,v1,v1,tall,1622,0.00000000,0.03668196,0.03668196,0.00000000
development,1,hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240x320,v1,v1,clean,1623,0.00000000,0.00000000,0.00000000,1.00000000
development,1,hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240x320,v1,v1,wide,1623,0.00000000,0.00000000,0.00000000,0.00000000
development,1,hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240x320,v1,v1,tall,1623,0.00000000,0.00000000,0.00000000,0.00000000
development,1,hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240x320,v1,v1,clean,1649,0.50000000,0.50000000,0.00000000,1.00000000
development,1,hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240x320,v1,v1,wide,1649,0.50000000,0.00000000,-0.50000000,0.00000000
development,1,hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240x320,v1,v1,tall,1649,0.50000000,0.10611318,-0.39388682,0.00000000
development,1,hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240x320,v1,v1,clean,1656,0.03919913,0.03919913,0.00000000,1.00000000
development,1,hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240x320,v1,v1,wide,1656,0.03919913,0.00000000,-0.03919913,0.00000000
development,1,hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240x320,v1,v1,tall,1656,0.03919913,0.62177614,0.58257700,0.00000000
development,1,hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240x320,v1,v1,clean,1662,0.00000000,0.00000000,0.00000000,1.00000000
development,1,hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240x320,v1,v1,wide,1662,0.00000000,0.00000000,0.00000000,0.00000000
development,1,hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240x320,v1,v1,tall,1662,0.00000000,0.00000000,0.00000000,0.00000000
development,1,hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240x320,v1,v1,clean,1697,0.30888200,0.30888200,0.00000000,1.00000000
development,1,hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240x320,v1,v1,wide,1697,0.30888200,0.00000000,-0.30888200,0.00000000
development,1,hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240x320,v1,v1,tall,1697,0.30888200,0.07728717,-0.23159483,0.00000000
development,1,hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240x320,v1,v1,clean,1731,0.64878646,0.64878646,0.00000000,1.00000000
development,1,hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240x320,v1,v1,wide,1731,0.64878646,0.00000000,-0.64878646,0.00000000
