scope,fold,method,descriptor_fingerprint,size,query_source,gallery_source,slice,query_variant,query_id,metric,value,rank,candidate_id,distance
development,1,hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240x320,v1,v1,normal_success,clean,11284,ndcg_at_10,1.00000000,1,10489,0.07195586
development,1,hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240x320,v1,v1,normal_success,clean,11284,ndcg_at_10,1.00000000,2,12044,0.07654810
development,1,hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240x320,v1,v1,normal_success,clean,11284,ndcg_at_10,1.00000000,3,11292,0.07998067
development,1,hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240x320,v1,v1,normal_success,clean,11284,ndcg_at_10,1.00000000,4,14114,0.08106101
development,1,hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240x320,v1,v1,normal_success,clean,11284,ndcg_at_10,1.00000000,5,28795,0.08147389
development,1,hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240x320,v1,v1,grayscale,clean,35828,ndcg_at_10,0.00000000,1,46764,0.23248535
development,1,hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240x320,v1,v1,grayscale,clean,35828,ndcg_at_10,0.00000000,2,42059,0.24008214
development,1,hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240x320,v1,v1,grayscale,clean,35828,ndcg_at_10,0.00000000,3,46791,0.24008608
development,1,hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240x320,v1,v1,grayscale,clean,35828,ndcg_at_10,0.00000000,4,46751,0.27287072
development,1,hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240x320,v1,v1,grayscale,clean,35828,ndcg_at_10,0.00000000,5,44024,0.27471262
development,1,hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240x320,v1,v1,rare_article_type,clean,3473,ndcg_at_10,0.00000000,1,31876,0.22352630
development,1,hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240x320,v1,v1,rare_article_type,clean,3473,ndcg_at_10,0.00000000,2,45933,0.23466712
development,1,hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240x320,v1,v1,rare_article_type,clean,3473,ndcg_at_10,0.00000000,3,10133,0.23798960
development,1,hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240x320,v1,v1,rare_article_type,clean,3473,ndcg_at_10,0.00000000,4,7029,0.23954803
development,1,hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240x320,v1,v1,rare_article_type,clean,3473,ndcg_at_10,0.00000000,5,43103,0.24082929
development,1,hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240x320,v1,v1,rare_type_colour,clean,1580,ndcg_at_10,0.00000000,1,19015,0.20443547
development,1,hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240x320,v1,v1,rare_type_colour,clean,1580,ndcg_at_10,0.00000000,2,19014,0.21232927
development,1,hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240x320,v1,v1,rare_type_colour,clean,1580,ndcg_at_10,0.00000000,3,29298,0.22080320
development,1,hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240x320,v1,v1,rare_type_colour,clean,1580,ndcg_at_10,0.00000000,4,21132,0.22150445
development,1,hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240x320,v1,v1,rare_type_colour,clean,1580,ndcg_at_10,0.00000000,5,51464,0.22201872
development,1,hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240x320,v1,v1,unusual_geometry,clean,25299,ndcg_at_10,0.11004588,1,25298,0.24203169
development,1,hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240x320,v1,v1,unusual_geometry,clean,25299,ndcg_at_10,0.11004588,2,10330,0.25597298
development,1,hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240x320,v1,v1,unusual_geometry,clean,25299,ndcg_at_10,0.11004588,3,20556,0.25719213
development,1,hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240x320,v1,v1,unusual_geometry,clean,25299,ndcg_at_10,0.11004588,4,46205,0.26185387
development,1,hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240x320,v1,v1,unusual_geometry,clean,25299,ndcg_at_10,0.11004588,5,48745,0.26298958
development,1,hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240x320,v1,v1,family_unavailable,clean,1529,recall_at_10,,1,1807,0.11371011
development,1,hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240x320,v1,v1,family_unavailable,clean,1529,recall_at_10,,2,1537,0.13905120
