method,fold,size,query_source,gallery_source,protocol,scope,checkpoint_fingerprint,config_fingerprint,descriptor_fingerprint,width,height,query_transform_seconds,gallery_transform_seconds,query_source_bytes,gallery_source_bytes,feature_bytes_per_image,uint8_tensor_bytes_per_image,float32_tensor_bytes_per_image,metric,k,aggregation,value,query_count,class_count,passed
hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,1,240x320,teacher,teacher,primary,development,,,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240.00000000,320.00000000,242.09224685,242.09224685,7550899200.00000000,7550899200.00000000,6912.00000000,230400.00000000,921600.00000000,ndcg,5,query_mean,0.47353488,6552,104,
hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,1,240x320,teacher,teacher,primary,development,,,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240.00000000,320.00000000,242.09224685,242.09224685,7550899200.00000000,7550899200.00000000,6912.00000000,230400.00000000,921600.00000000,ndcg,5,article_type_macro,0.40169381,6552,104,
hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,1,240x320,teacher,teacher,primary,development,,,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240.00000000,320.00000000,242.09224685,242.09224685,7550899200.00000000,7550899200.00000000,6912.00000000,230400.00000000,921600.00000000,precision_any,5,query_mean,0.75744811,6552,104,
hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,1,240x320,teacher,teacher,primary,development,,,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240.00000000,320.00000000,242.09224685,242.09224685,7550899200.00000000,7550899200.00000000,6912.00000000,230400.00000000,921600.00000000,precision_any,5,article_type_macro,0.52716736,6552,104,
hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,1,240x320,teacher,teacher,primary,development,,,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240.00000000,320.00000000,242.09224685,242.09224685,7550899200.00000000,7550899200.00000000,6912.00000000,230400.00000000,921600.00000000,precision_strict,5,query_mean,0.15595238,6552,104,
hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,1,240x320,teacher,teacher,primary,development,,,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240.00000000,320.00000000,242.09224685,242.09224685,7550899200.00000000,7550899200.00000000,6912.00000000,230400.00000000,921600.00000000,precision_strict,5,article_type_macro,0.09629877,6552,104,
hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,1,240x320,teacher,teacher,primary,development,,,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240.00000000,320.00000000,242.09224685,242.09224685,7550899200.00000000,7550899200.00000000,6912.00000000,230400.00000000,921600.00000000,tie_rate,5,query_mean,0.03639414,6556,108,
hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,1,240x320,teacher,teacher,primary,development,,,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240.00000000,320.00000000,242.09224685,242.09224685,7550899200.00000000,7550899200.00000000,6912.00000000,230400.00000000,921600.00000000,tie_rate,5,article_type_macro,0.02950043,6556,108,
hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,1,240x320,teacher,teacher,primary,development,,,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240.00000000,320.00000000,242.09224685,242.09224685,7550899200.00000000,7550899200.00000000,6912.00000000,230400.00000000,921600.00000000,ndcg,10,query_mean,0.46230516,6552,104,
hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,1,240x320,teacher,teacher,primary,development,,,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240.00000000,320.00000000,242.09224685,242.09224685,7550899200.00000000,7550899200.00000000,6912.00000000,230400.00000000,921600.00000000,ndcg,10,article_type_macro,0.38756702,6552,104,
hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,1,240x320,teacher,teacher,primary,development,,,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240.00000000,320.00000000,242.09224685,242.09224685,7550899200.00000000,7550899200.00000000,6912.00000000,230400.00000000,921600.00000000,precision_any,10,query_mean,0.72822039,6552,104,
hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,1,240x320,teacher,teacher,primary,development,,,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240.00000000,320.00000000,242.09224685,242.09224685,7550899200.00000000,7550899200.00000000,6912.00000000,230400.00000000,921600.00000000,precision_any,10,article_type_macro,0.46238299,6552,104,
hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,1,240x320,teacher,teacher,primary,development,,,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240.00000000,320.00000000,242.09224685,242.09224685,7550899200.00000000,7550899200.00000000,6912.00000000,230400.00000000,921600.00000000,precision_strict,10,query_mean,0.14790904,6552,104,
hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,1,240x320,teacher,teacher,primary,development,,,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240.00000000,320.00000000,242.09224685,242.09224685,7550899200.00000000,7550899200.00000000,6912.00000000,230400.00000000,921600.00000000,precision_strict,10,article_type_macro,0.08605806,6552,104,
hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,1,240x320,teacher,teacher,primary,development,,,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240.00000000,320.00000000,242.09224685,242.09224685,7550899200.00000000,7550899200.00000000,6912.00000000,230400.00000000,921600.00000000,tie_rate,10,query_mean,0.04130567,6556,108,
hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,1,240x320,teacher,teacher,primary,development,,,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240.00000000,320.00000000,242.09224685,242.09224685,7550899200.00000000,7550899200.00000000,6912.00000000,230400.00000000,921600.00000000,tie_rate,10,article_type_macro,0.03908043,6556,108,
hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,1,240x320,teacher,teacher,primary,development,,,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240.00000000,320.00000000,242.09224685,242.09224685,7550899200.00000000,7550899200.00000000,6912.00000000,230400.00000000,921600.00000000,ndcg,20,query_mean,0.45240379,6552,104,
hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,1,240x320,teacher,teacher,primary,development,,,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240.00000000,320.00000000,242.09224685,242.09224685,7550899200.00000000,7550899200.00000000,6912.00000000,230400.00000000,921600.00000000,ndcg,20,article_type_macro,0.37677626,6552,104,
hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,1,240x320,teacher,teacher,primary,development,,,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240.00000000,320.00000000,242.09224685,242.09224685,7550899200.00000000,7550899200.00000000,6912.00000000,230400.00000000,921600.00000000,precision_any,20,query_mean,0.69816087,6552,104,
