method,fold,size,query_source,gallery_source,protocol,scope,checkpoint_fingerprint,config_fingerprint,descriptor_fingerprint,query_id,articleType,ndcg_at_5,precision_any_at_5,precision_strict_at_5,tie_rate_at_5,ndcg_at_10,precision_any_at_10,precision_strict_at_10,tie_rate_at_10,ndcg_at_20,precision_any_at_20,precision_strict_at_20,tie_rate_at_20,recall_at_10,hit_rate_at_10,precision_at_10
hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,1,240x320,teacher,teacher,primary,development,,,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,1529,Tshirts,0.58780562,0.80000000,0.60000000,0.00000000,0.55697984,0.90000000,0.30000000,0.00000000,0.57577578,0.95000000,0.25000000,0.00000000,,,
hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,1,240x320,teacher,teacher,primary,development,,,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,1537,Tshirts,0.67259567,1.00000000,0.40000000,0.00000000,0.68432903,1.00000000,0.40000000,0.00000000,0.63815225,1.00000000,0.25000000,0.00000000,,,
hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,1,240x320,teacher,teacher,primary,development,,,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,1546,Casual Shoes,0.31564845,0.40000000,0.40000000,0.00000000,0.26845504,0.30000000,0.30000000,0.00000000,0.24630744,0.35000000,0.15000000,0.00000000,,,
hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,1,240x320,teacher,teacher,primary,development,,,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,1547,Casual Shoes,0.15039259,0.40000000,0.00000000,0.00000000,0.23261286,0.50000000,0.10000000,0.00000000,0.23698745,0.50000000,0.05000000,0.00000000,,,
hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,1,240x320,teacher,teacher,primary,development,,,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,1552,Footballs,0.44530150,0.40000000,0.20000000,0.00000000,0.44530150,0.20000000,0.10000000,0.00000000,0.44530150,0.10000000,0.05000000,0.00000000,,,
hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,1,240x320,teacher,teacher,primary,development,,,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,1562,Tshirts,0.50000000,1.00000000,0.00000000,0.00000000,0.53919913,1.00000000,0.10000000,0.00000000,0.58031801,1.00000000,0.20000000,0.00000000,,,
hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,1,240x320,teacher,teacher,primary,development,,,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,1572,Track Pants,0.76481736,1.00000000,0.60000000,0.00000000,0.73426868,0.90000000,0.60000000,0.00000000,0.60197428,0.70000000,0.40000000,0.00000000,,,
hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,1,240x320,teacher,teacher,primary,development,,,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,1575,Tshirts,0.57303417,1.00000000,0.20000000,0.00000000,0.58659332,1.00000000,0.20000000,0.00000000,0.59181765,1.00000000,0.20000000,0.00000000,,,
hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,1,240x320,teacher,teacher,primary,development,,,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,1580,Swimwear,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.05527180,0.05000000,0.05000000,0.00000000,,,
hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,1,240x320,teacher,teacher,primary,development,,,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,1590,Sports Shoes,0.29877632,0.40000000,0.20000000,0.00000000,0.33760920,0.60000000,0.10000000,0.00000000,0.35783874,0.60000000,0.15000000,0.00000000,,,
hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,1,240x320,teacher,teacher,primary,development,,,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,1591,Shorts,0.50000000,1.00000000,0.00000000,0.00000000,0.50000000,1.00000000,0.00000000,0.00000000,0.59347589,1.00000000,0.00000000,0.00000000,,,
hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,1,240x320,teacher,teacher,primary,development,,,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,1605,Track Pants,0.65039259,1.00000000,0.40000000,0.00000000,0.63482728,0.90000000,0.40000000,0.00000000,0.63823210,0.95000000,0.35000000,0.00000000,,,
hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,1,240x320,teacher,teacher,primary,development,,,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,1615,Tshirts,0.50000000,1.00000000,0.00000000,0.00000000,0.50000000,1.00000000,0.00000000,0.00000000,0.48720890,0.90000000,0.05000000,0.00000000,,,
hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,1,240x320,teacher,teacher,primary,development,,,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,1619,Shorts,0.27657324,0.40000000,0.00000000,0.00000000,0.25284103,0.30000000,0.10000000,0.00000000,0.16317534,0.15000000,0.05000000,0.00000000,,,
hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,1,240x320,teacher,teacher,primary,development,,,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,1620,Shorts,0.36136329,0.60000000,0.00000000,0.00000000,0.27118201,0.40000000,0.00000000,0.00000000,0.22971434,0.30000000,0.05000000,0.00000000,,,
hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,1,240x320,teacher,teacher,primary,development,,,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,1622,Jackets,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.03932066,0.10000000,0.00000000,0.00000000,,,
hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,1,240x320,teacher,teacher,primary,development,,,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,1623,Backpacks,0.16958010,0.20000000,0.00000000,0.80000000,0.14672784,0.20000000,0.00000000,0.80000000,0.22347028,0.40000000,0.05000000,0.50000000,,,
hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,1,240x320,teacher,teacher,primary,development,,,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,1649,Casual Shoes,0.50000000,1.00000000,0.00000000,0.00000000,0.50196635,0.90000000,0.10000000,0.00000000,0.50126902,0.95000000,0.05000000,0.00000000,,,
hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,1,240x320,teacher,teacher,primary,development,,,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,1656,Caps,0.16958010,0.20000000,0.20000000,0.00000000,0.14672784,0.20000000,0.10000000,0.00000000,0.09469336,0.10000000,0.05000000,0.15000000,,,
hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,1,240x320,teacher,teacher,primary,development,,,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,1662,Jackets,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,,,
hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,1,240x320,teacher,teacher,primary,development,,,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,1697,Backpacks,0.43439746,0.80000000,0.00000000,0.00000000,0.28189423,0.40000000,0.00000000,0.00000000,0.30881508,0.40000000,0.15000000,0.00000000,,,
hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,1,240x320,teacher,teacher,primary,development,,,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,1731,Sports Shoes,0.69178318,0.80000000,0.40000000,0.00000000,0.65178103,0.80000000,0.40000000,0.00000000,0.50893698,0.55000000,0.30000000,0.00000000,,,
hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,1,240x320,teacher,teacher,primary,development,,,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,1764,Track Pants,0.31997269,0.60000000,0.00000000,0.00000000,0.34808113,0.60000000,0.10000000,0.00000000,0.32796312,0.55000000,0.10000000,0.00000000,,,
hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,1,240x320,teacher,teacher,primary,development,,,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,1782,Sports Shoes,0.00000000,0.00000000,0.00000000,0.00000000,0.03181039,0.10000000,0.00000000,0.00000000,0.12565273,0.35000000,0.00000000,0.10000000,,,
hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,1,240x320,teacher,teacher,primary,development,,,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,1783,Sandals,0.10699313,0.20000000,0.00000000,0.00000000,0.06943122,0.10000000,0.00000000,0.00000000,0.08043345,0.15000000,0.00000000,0.00000000,,,
hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,1,240x320,teacher,teacher,primary,development,,,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,1790,Backpacks,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.10000000,,,
hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,1,240x320,teacher,teacher,primary,development,,,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,1804,Shorts,0.41520995,0.80000000,0.00000000,0.00000000,0.38255673,0.60000000,0.10000000,0.00000000,0.26506776,0.35000000,0.05000000,0.00000000,,,
hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,1,240x320,teacher,teacher,primary,development,,,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,1805,Casual Shoes,0.25437015,0.40000000,0.00000000,0.00000000,0.26668829,0.50000000,0.00000000,0.00000000,0.22713208,0.40000000,0.00000000,0.00000000,,,
hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,1,240x320,teacher,teacher,primary,development,,,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,1807,Tshirts,0.67259567,1.00000000,0.40000000,0.00000000,0.65120192,1.00000000,0.30000000,0.00000000,0.63073201,1.00000000,0.25000000,0.00000000,,,
hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,1,240x320,teacher,teacher,primary,development,,,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,1809,Tshirts,0.44615334,0.40000000,0.20000000,0.00000000,0.28952299,0.20000000,0.10000000,0.00000000,0.20356743,0.15000000,0.05000000,0.00000000,,,
