scope,fold,size,width,height,query_source,gallery_source,protocol,query_transform_seconds,gallery_transform_seconds,query_source_bytes,gallery_source_bytes,feature_bytes_per_image,uint8_tensor_bytes_per_image,float32_tensor_bytes_per_image,metric,k,aggregation,value,query_count,class_count
development,1,60x80,60,80,teacher,teacher,primary,295.14003075,295.14003075,409687427,409687427,1600,14400,57600,ndcg,5,query_mean,0.50986814,6552,104
development,1,60x80,60,80,teacher,teacher,primary,295.14003075,295.14003075,409687427,409687427,1600,14400,57600,ndcg,5,article_type_macro,0.38217659,6552,104
development,1,60x80,60,80,teacher,teacher,primary,295.14003075,295.14003075,409687427,409687427,1600,14400,57600,precision_any,5,query_mean,0.70317460,6552,104
development,1,60x80,60,80,teacher,teacher,primary,295.14003075,295.14003075,409687427,409687427,1600,14400,57600,precision_any,5,article_type_macro,0.46671624,6552,104
development,1,60x80,60,80,teacher,teacher,primary,295.14003075,295.14003075,409687427,409687427,1600,14400,57600,precision_strict,5,query_mean,0.28049451,6552,104
development,1,60x80,60,80,teacher,teacher,primary,295.14003075,295.14003075,409687427,409687427,1600,14400,57600,precision_strict,5,article_type_macro,0.13110838,6552,104
development,1,60x80,60,80,teacher,teacher,primary,295.14003075,295.14003075,409687427,409687427,1600,14400,57600,tie_rate,5,query_mean,0.03114704,6556,108
development,1,60x80,60,80,teacher,teacher,primary,295.14003075,295.14003075,409687427,409687427,1600,14400,57600,tie_rate,5,article_type_macro,0.02086385,6556,108
development,1,60x80,60,80,teacher,teacher,primary,295.14003075,295.14003075,409687427,409687427,1600,14400,57600,ndcg,10,query_mean,0.49293832,6552,104
development,1,60x80,60,80,teacher,teacher,primary,295.14003075,295.14003075,409687427,409687427,1600,14400,57600,ndcg,10,article_type_macro,0.35701845,6552,104
development,1,60x80,60,80,teacher,teacher,primary,295.14003075,295.14003075,409687427,409687427,1600,14400,57600,precision_any,10,query_mean,0.67380952,6552,104
development,1,60x80,60,80,teacher,teacher,primary,295.14003075,295.14003075,409687427,409687427,1600,14400,57600,precision_any,10,article_type_macro,0.39464646,6552,104
development,1,60x80,60,80,teacher,teacher,primary,295.14003075,295.14003075,409687427,409687427,1600,14400,57600,precision_strict,10,query_mean,0.25946276,6552,104
development,1,60x80,60,80,teacher,teacher,primary,295.14003075,295.14003075,409687427,409687427,1600,14400,57600,precision_strict,10,article_type_macro,0.10915767,6552,104
development,1,60x80,60,80,teacher,teacher,primary,295.14003075,295.14003075,409687427,409687427,1600,14400,57600,tie_rate,10,query_mean,0.03375534,6556,108
development,1,60x80,60,80,teacher,teacher,primary,295.14003075,295.14003075,409687427,409687427,1600,14400,57600,tie_rate,10,article_type_macro,0.02567935,6556,108
development,1,60x80,60,80,teacher,teacher,primary,295.14003075,295.14003075,409687427,409687427,1600,14400,57600,ndcg,20,query_mean,0.47622423,6552,104
development,1,60x80,60,80,teacher,teacher,primary,295.14003075,295.14003075,409687427,409687427,1600,14400,57600,ndcg,20,article_type_macro,0.34559623,6552,104
development,1,60x80,60,80,teacher,teacher,primary,295.14003075,295.14003075,409687427,409687427,1600,14400,57600,precision_any,20,query_mean,0.64387210,6552,104
development,1,60x80,60,80,teacher,teacher,primary,295.14003075,295.14003075,409687427,409687427,1600,14400,57600,precision_any,20,article_type_macro,0.33795598,6552,104
development,1,60x80,60,80,teacher,teacher,primary,295.14003075,295.14003075,409687427,409687427,1600,14400,57600,precision_strict,20,query_mean,0.23600427,6552,104
development,1,60x80,60,80,teacher,teacher,primary,295.14003075,295.14003075,409687427,409687427,1600,14400,57600,precision_strict,20,article_type_macro,0.09450811,6552,104
development,1,60x80,60,80,teacher,teacher,primary,295.14003075,295.14003075,409687427,409687427,1600,14400,57600,tie_rate,20,query_mean,0.03582977,6556,108
development,1,60x80,60,80,teacher,teacher,primary,295.14003075,295.14003075,409687427,409687427,1600,14400,57600,tie_rate,20,article_type_macro,0.03189024,6556,108
development,1,60x80,60,80,teacher,teacher,family,295.14003075,295.14003075,409687427,409687427,1600,14400,57600,coverage,10,query_mean,0.39948139,6556,
development,1,60x80,60,80,teacher,teacher,family,295.14003075,295.14003075,409687427,409687427,1600,14400,57600,tie_rate,10,query_mean,0.03860586,6556,
development,1,60x80,60,80,teacher,teacher,family,295.14003075,295.14003075,409687427,409687427,1600,14400,57600,recall,10,query_mean,0.37063109,2619,
development,1,60x80,60,80,teacher,teacher,family,295.14003075,295.14003075,409687427,409687427,1600,14400,57600,hit_rate,10,query_mean,0.64910271,2619,
development,1,60x80,60,80,teacher,teacher,family,295.14003075,295.14003075,409687427,409687427,1600,14400,57600,precision,10,query_mean,0.15429553,2619,
development,1,60x80,60,80,v1,v1,primary,352.17207766,352.17207766,11525856401,11525856401,1600,14400,57600,ndcg,5,query_mean,0.50830646,6552,104
development,1,60x80,60,80,v1,v1,primary,352.17207766,352.17207766,11525856401,11525856401,1600,14400,57600,ndcg,5,article_type_macro,0.38260933,6552,104
development,1,60x80,60,80,v1,v1,primary,352.17207766,352.17207766,11525856401,11525856401,1600,14400,57600,precision_any,5,query_mean,0.70158730,6552,104
development,1,60x80,60,80,v1,v1,primary,352.17207766,352.17207766,11525856401,11525856401,1600,14400,57600,precision_any,5,article_type_macro,0.46583866,6552,104
development,1,60x80,60,80,v1,v1,primary,352.17207766,352.17207766,11525856401,11525856401,1600,14400,57600,precision_strict,5,query_mean,0.27725885,6552,104
development,1,60x80,60,80,v1,v1,primary,352.17207766,352.17207766,11525856401,11525856401,1600,14400,57600,precision_strict,5,article_type_macro,0.12887424,6552,104
development,1,60x80,60,80,v1,v1,primary,352.17207766,352.17207766,11525856401,11525856401,1600,14400,57600,tie_rate,5,query_mean,0.03047590,6556,108
development,1,60x80,60,80,v1,v1,primary,352.17207766,352.17207766,11525856401,11525856401,1600,14400,57600,tie_rate,5,article_type_macro,0.02348211,6556,108
development,1,60x80,60,80,v1,v1,primary,352.17207766,352.17207766,11525856401,11525856401,1600,14400,57600,ndcg,10,query_mean,0.49103517,6552,104
development,1,60x80,60,80,v1,v1,primary,352.17207766,352.17207766,11525856401,11525856401,1600,14400,57600,ndcg,10,article_type_macro,0.35698997,6552,104
development,1,60x80,60,80,v1,v1,primary,352.17207766,352.17207766,11525856401,11525856401,1600,14400,57600,precision_any,10,query_mean,0.67115385,6552,104
development,1,60x80,60,80,v1,v1,primary,352.17207766,352.17207766,11525856401,11525856401,1600,14400,57600,precision_any,10,article_type_macro,0.39451280,6552,104
development,1,60x80,60,80,v1,v1,primary,352.17207766,352.17207766,11525856401,11525856401,1600,14400,57600,precision_strict,10,query_mean,0.25731074,6552,104
development,1,60x80,60,80,v1,v1,primary,352.17207766,352.17207766,11525856401,11525856401,1600,14400,57600,precision_strict,10,article_type_macro,0.10891200,6552,104
development,1,60x80,60,80,v1,v1,primary,352.17207766,352.17207766,11525856401,11525856401,1600,14400,57600,tie_rate,10,query_mean,0.03366382,6556,108
development,1,60x80,60,80,v1,v1,primary,352.17207766,352.17207766,11525856401,11525856401,1600,14400,57600,tie_rate,10,article_type_macro,0.02771024,6556,108
development,1,60x80,60,80,v1,v1,primary,352.17207766,352.17207766,11525856401,11525856401,1600,14400,57600,ndcg,20,query_mean,0.47431831,6552,104
development,1,60x80,60,80,v1,v1,primary,352.17207766,352.17207766,11525856401,11525856401,1600,14400,57600,ndcg,20,article_type_macro,0.34241220,6552,104
development,1,60x80,60,80,v1,v1,primary,352.17207766,352.17207766,11525856401,11525856401,1600,14400,57600,precision_any,20,query_mean,0.64169719,6552,104
development,1,60x80,60,80,v1,v1,primary,352.17207766,352.17207766,11525856401,11525856401,1600,14400,57600,precision_any,20,article_type_macro,0.33660370,6552,104
development,1,60x80,60,80,v1,v1,primary,352.17207766,352.17207766,11525856401,11525856401,1600,14400,57600,precision_strict,20,query_mean,0.23411935,6552,104
development,1,60x80,60,80,v1,v1,primary,352.17207766,352.17207766,11525856401,11525856401,1600,14400,57600,precision_strict,20,article_type_macro,0.09356267,6552,104
