id,teacher_path,external_path,teacher_width,teacher_height,external_width,external_height,pixel_area_ratio,file_size_ratio,dhash_distance,ahash_distance,mse,mae,max_difference,crop_mse,crop_mae,foreground_fraction_1,foreground_fraction_2,foreground_ratio
1978,data/raw/teacher/train/images_train/1978.jpg,data/raw/external/fashion_product_images_v1/images/1978.jpg,60,80,1800,2400,900.00000000,151.83371612,1,0,0.00023734,0.00785750,0.12156863,0.03982293,0.09605387,0.44479167,0.41303819,0.92861046
2187,data/raw/teacher/train/images_train/2187.jpg,data/raw/external/fashion_product_images_v1/images/2187.jpg,60,80,1800,2400,900.00000000,172.86855346,0,0,0.00078341,0.01924849,0.17647061,0.00078341,0.01924849,0.99895833,0.99998287,0.99897545
2677,data/raw/teacher/train/images_train/2677.jpg,data/raw/external/fashion_product_images_v1/images/2677.jpg,60,80,1800,2400,900.00000000,143.35017938,0,0,0.00024431,0.00750677,0.13333333,0.00430041,0.02958729,0.51187500,0.49077639,0.95878171
3208,data/raw/teacher/train/images_train/3208.jpg,data/raw/external/fashion_product_images_v1/images/3208.jpg,60,80,1800,2400,900.00000000,189.57156863,0,0,0.00032974,0.00913150,0.14901960,0.02410823,0.06991549,0.44645833,0.41536019,0.93034479
3254,data/raw/teacher/train/images_train/3254.jpg,data/raw/external/fashion_product_images_v1/images/3254.jpg,60,80,1800,2400,900.00000000,127.92753623,0,0,0.00002593,0.00199812,0.04705882,0.00205982,0.02226211,0.17458333,0.17307523,0.99136171
3349,data/raw/teacher/train/images_train/3349.jpg,data/raw/external/fashion_product_images_v1/images/3349.jpg,60,80,1800,2400,900.00000000,14.92492094,0,0,0.00047363,0.01193927,0.14509805,0.02748841,0.07022218,0.53312500,0.49214630,0.92313491
3502,data/raw/teacher/train/images_train/3502.jpg,data/raw/external/fashion_product_images_v1/images/3502.jpg,60,80,1800,2400,900.00000000,12.09993183,0,0,0.00027429,0.00790441,0.13725489,0.02678831,0.07057101,0.42312500,0.38942963,0.92036545
3520,data/raw/teacher/train/images_train/3520.jpg,data/raw/external/fashion_product_images_v1/images/3520.jpg,60,80,1800,2400,900.00000000,13.20560514,0,0,0.00037538,0.01047156,0.14117646,0.02827067,0.07333378,0.48916667,0.45174005,0.92348902
4153,data/raw/teacher/train/images_train/4153.jpg,data/raw/external/fashion_product_images_v1/images/4153.jpg,60,80,1800,2400,900.00000000,211.74785479,0,0,0.00008739,0.00397231,0.09411764,0.03200274,0.07960134,0.24916667,0.23597963,0.94707544
4231,data/raw/teacher/train/images_train/4231.jpg,data/raw/external/fashion_product_images_v1/images/4231.jpg,60,80,1800,2400,900.00000000,147.25094056,0,0,0.00043701,0.01175705,0.15686274,0.05155167,0.12603562,0.49708333,0.44935463,0.90398249
4250,data/raw/teacher/train/images_train/4250.jpg,data/raw/external/fashion_product_images_v1/images/4250.jpg,60,80,1800,2400,900.00000000,149.90064620,0,0,0.00039237,0.01106388,0.15686274,0.02324901,0.07476703,0.50937500,0.46380046,0.91052852
4322,data/raw/teacher/train/images_train/4322.jpg,data/raw/external/fashion_product_images_v1/images/4322.jpg,60,80,1800,2400,900.00000000,55.29692169,2,0,0.00007952,0.00252087,0.12941177,0.00786134,0.03426107,0.20583333,0.18692616,0.90814327
4390,data/raw/teacher/train/images_train/4390.jpg,data/raw/external/fashion_product_images_v1/images/4390.jpg,60,80,1800,2400,900.00000000,66.94017380,0,0,0.00058544,0.01377591,0.17254902,0.03659112,0.09737891,0.50458333,0.45597083,0.90365813
4766,data/raw/teacher/train/images_train/4766.jpg,data/raw/external/fashion_product_images_v1/images/4766.jpg,60,80,1800,2400,900.00000000,19.24750264,2,0,0.00024338,0.00763506,0.13333333,0.01745721,0.05267661,0.48708333,0.45756829,0.93940452
4938,data/raw/teacher/train/images_train/4938.jpg,data/raw/external/fashion_product_images_v1/images/4938.jpg,60,80,1080,1440,324.00000000,18.72914389,0,0,0.00006719,0.00338574,0.06666666,0.00251730,0.02488830,0.30687500,0.28708526,0.93551206
