file_sha256,pixel_sha256,ids,count
0002217ea65c6c2c27746a3444e91e78449cf741cf96b8ffaeef109c8e4ceaa9,8b4eb35ce555aa3172de08defb976fd0a27fd6b1e6c83dd7469acee356834650,"(33272, 39337)",2
00971ab398cca213a695bc6c010787958771a6947c8c0ffd340711015ef45d44,49d45b9651a3b6295540601e13bca1357535662cfe576372b56cf704a503e108,"(31118, 34016, 34017)",3
01b153a53029b298931dda0502a3bd993723a88b57567df6501e27f40e437640,b144e7369e7107ae83d35c132821dd9761828ebefd8d3ab54048672a816123dd,"(38490, 41011, 41012)",3
02962fced280d19d41e556b0e7cf443083e8870886c60bf681d87fc8eed3036b,065da70d90bb7dd27c3777c61c358047d5bdd92c030f9d466eaa4c8f92a626e8,"(31101, 34028, 34029)",3
029949089ecc709b449e8cb1387263ccb5b9aa43a100c24397dfec805703065b,42685698f0f9eabaa0bf0c57b3750185f1c03db350e8d0063c07598ea6c29bce,"(11079, 11080)",2
02d2b58b70427b00737d86f7b933622f5d8e35ddf6cfe2bf3abe3c33b2c1a898,4187c25770e4960b6061c2b978dce0a647639a2a635411c8846d137b60614197,"(9465, 9466)",2
0324b45f854977a94fe4edc1ed4c5bd1b49f6bbfc1992d6a08be39e7dc13e007,a8f909f2b6e0b046196474fbbd51f647bea741034a6d28c955853ccce09bb369,"(23711, 28162)",2
03413098d0beb53b71f786c59b484a26524fdb3c7dbb79fb41378bceebf9866b,54903b8f1b59eb32fdbf101a6f77cceef6fb3c16d750ffbbef3f9c0ff12c75cb,"(38479, 40977)",2
03721d9860633ffe2d96493880a98d00e4dadfbb6ada688773cbf1a2cd21753d,820861f95f1eaab1f3eff0dcf656e1fe7afd1ae52c9f300bc9ba2029a18715ad,"(21388, 22545)",2
0469c976a89a622cac081c3057eafee94f9e3e556feaf93362b72d431b7fa3ac,c9389a3453080170d2da7e8eb57d4f1900a25032db0d1d94aad36487800e8ab8,"(39005, 40945, 40946)",3
04e9e56bb3c47871790f58bb3830b2d6e1f2d2f01d9a10f42e34f96960523395,aefe129c042956c2dda012166f10fd8b08d5e2955b9a7ddf43a53d139c368686,"(8789, 9633)",2
0507854a991e06b2afd42453de2eb2260170bde0f5d946b05ac31fdd03bc0e02,239b7f9e8a9aece54408854cfd312febb04d9c78b2ac8b6ceda50bc7603a165b,"(9589, 9590)",2
057a34a769ba85c446535b894915154e0fff0802cf680d7b1367852daf0dcf61,4eea4e48493d5c94d0c227a9e658b4c99af36634219188cc447c9b909fb1e165,"(11165, 11166)",2
0598fd3e0a0d9cf1cdf1379150a775af2d6c73d94734dce914ffb7ee5eb015a3,bfa694ed901a1fb4d44e1c334f508f179bfddf6dd6e0a68442384f86910774eb,"(8791, 9635)",2
05ed1d4713ee97331c7839c7b2f4dcd153829c86df35223d05755e886d5a8703,c265a4996cf155fb18d13b44e10c528c9ef029303c3cfbf275f8847d908932dc,"(9477, 9478)",2
05f5ae339ba6d8be3d0c97be25d7b888b953cf880428c6440e16419a2f6ce1bf,d33a3ef504bdb5c54c1ced04bce6a6b2ea366bbedb73fe83068abc466a2ecbf0,"(31156, 34180, 34181)",3
06bae732bf252006557103c532dba2cc708ab6f0ced3a7ddf48eeb56267a7600,5938c38c54cecbce76beaeb1972881fdf9d8a539e182e33ab3a12c3aa7fe1b45,"(41980, 41981)",2
06f04ae97551b7faeeadac402d5946218b1eeb842e4be552247d309852d36a5f,b4af9cea74160540baaca8cd01669536482023087ee540f0482452b957e1eecd,"(26086, 29721)",2
081377eca18358a0a5f22f8642c1979fefe598864777580d3509af9542fca460,08ca905518a50fc9c89150bdf45f65860724751019d12f7ea55eb8ed88d67224,"(41311, 43588)",2
09867f1d71184725a91bdbc01477e6655c3faab29287ac5f9155bef91089bdcd,d88f4d06bd201971d6b36b296cdd9930acd24d2045c363e5834767381d3c0067,"(13222, 13223)",2
